file,precision,recall,f1_score,map0.5,map0.5-0.95,tp,fp,fn,segmentation_time
0,0.6699565732333201,0.819015444015444,0.7370249728555918,0.5481462871908983,0.26866812618885255,1697,836,375,8.370864152908325
1,0.7325769854132901,0.9149797570850202,0.8136813681368137,0.6659790776484455,0.34722263150139976,904,330,84,4.013307094573975
10,0.695373339441136,0.8372862658576944,0.7597597597597596,0.5689418231791112,0.28199725148877686,1518,665,295,6.4418065547943115
100,0.5363908275174477,0.9134125636672326,0.6758793969849246,0.4876280250158615,0.2986525272666848,1614,1395,153,21.98153257369995
101,0.5536175710594315,0.9694570135746606,0.7047697368421053,0.5032887009631196,0.3370918487197556,857,691,27,11.564491033554077
102,0.5060635857096034,0.8976744186046511,0.647243764409977,0.4140520246714937,0.25108012276153874,1544,1507,176,21.84730076789856
103,0.5289829920166609,0.9049881235154394,0.6676889375684556,0.4808936291060553,0.2656085323908996,1524,1357,160,11.108054637908936
104,0.5415043452202577,0.8836185819070904,0.6714975845410627,0.44304900972566535,0.29262538480398825,1807,1530,238,11.922403573989868
105,0.5138047138047138,0.9187236604455148,0.6590369250701792,0.4670951943679216,0.2833425160697888,1526,1444,135,11.237804889678955
106,0.5380622837370242,0.9262844378257632,0.6807113543091655,0.48914753067002203,0.3136835482856244,1244,1068,99,8.690380811691284
107,0.546142208774584,0.894893406048587,0.6783164223975949,0.44684362536102323,0.3069316462659881,1805,1500,212,13.53276515007019
108,0.4971629289381248,0.881648298993771,0.6357982031789909,0.406769669131193,0.2566652747414704,1840,1861,247,17.100980520248413
109,0.5463768115942029,0.9122807017543859,0.6834353047813279,0.49670619235836627,0.3168280632411067,1508,1252,145,13.349655151367188
11,0.70817843866171,0.9042721518987342,0.7943015983321752,0.6437985806015546,0.3104201870001127,1143,471,121,3.7538256645202637
110,0.5224111282843895,0.9247606019151847,0.6676543209876544,0.47491920753126315,0.2910425741183083,1352,1236,110,12.443609237670898
111,0.5245441795231417,0.9155446756425949,0.6669638876504681,0.4768583450210379,0.29876641591227854,1496,1356,138,13.399801254272461
112,0.5256544502617801,0.8666378938282262,0.6543913964477759,0.4300809138505474,0.2756949071870538,2008,1812,309,18.721403121948242
113,0.5578206078576724,0.9301606922126081,0.6974050046339202,0.5071096435069748,0.3543736100815419,1505,1193,113,11.964261531829834
114,0.5036517674554485,0.8969823100936525,0.6450888681010291,0.4120787188271851,0.23632911056223943,1724,1699,198,16.248948335647583
115,0.5440585009140768,0.8980084490042245,0.6775956284153005,0.4451387734751538,0.30003323915572544,1488,1247,169,13.387522459030151
116,0.5114023591087812,0.8686553873552983,0.643788153770005,0.4184201119980937,0.25474562135112594,1951,1864,295,19.220082998275757
117,0.5369376805612877,0.9346264367816092,0.6820445609436435,0.4881251641466251,0.3112520166585375,1301,1122,91,12.163042783737183
118,0.5507982583454282,0.9111644657863145,0.6865671641791045,0.5007256894049347,0.3135473017548489,1518,1238,148,13.813186883926392
119,0.5222949797318366,0.8914316125598722,0.6586708611875737,0.4273322561442299,0.26352014060152507,1675,1532,204,15.274600267410278
12,0.705750977107761,0.8717241379310345,0.7800061709348967,0.5774326176336226,0.2939444698238668,1264,527,186,4.211102247238159
120,0.44278792396571004,0.8722466960352423,0.5873918417799753,0.3622810286992173,0.20539762138718526,1188,1495,174,10.477617740631104
121,0.4161823871256147,0.9154375614552606,0.5722188076213891,0.37834762465964966,0.1958426464014305,931,1306,86,8.531951189041138
122,0.4276426174496644,0.7602535421327368,0.5473825503355705,0.31101281269066505,0.13882893532641855,2039,2729,643,27.28364849090576
123,0.43091655266757867,0.8241758241758241,0.5659360402443406,0.35256808854620075,0.17477925631140406,1575,2080,336,21.598116874694824
124,0.4396262577862961,0.7926565874730022,0.5655725073200801,0.3197281874809426,0.15904734939234216,1835,2339,480,24.908278703689575
125,0.44258639910813824,0.8763796909492274,0.5881481481481482,0.3621161447248404,0.2071348940914158,1191,1500,168,22.210514068603516
126,0.44476603955619876,0.8013906996957845,0.5720490150457578,0.36389948690961715,0.16512301013024602,1844,2302,457,24.72726845741272
127,0.4311584553928096,0.8218274111675127,0.5655895196506551,0.35276600895775334,0.17062583222370173,1619,2136,351,15.37618637084961
128,0.4380188949327226,0.827027027027027,0.5727119595732735,0.35837909585404576,0.176022174218567,1530,1963,320,19.095253467559814
129,0.42536265793167993,0.9099099099099099,0.579719387755102,0.38669332539243634,0.19513761858169903,909,1228,90,14.257973670959473
13,0.6967247979583157,0.8391393442622951,0.7613293051359517,0.5700475619658947,0.2979157805189281,1638,713,314,5.975791692733765
130,0.4191516169676606,0.9105839416058394,0.5740580960598217,0.3810469245160551,0.1874689778931694,998,1383,98,16.868094205856323
131,0.4198297676558546,0.7792485055508113,0.5456719988040066,0.3053307401133488,0.144247861639166,1825,2522,517,31.19791007041931
132,0.45456960680127523,0.7841429880843263,0.5755129498822737,0.33059607767365473,0.16960438604965705,1711,2053,471,24.112053871154785
133,0.42921013412816694,0.8500590318772137,0.5704099821746882,0.3511719279230457,0.18117870207288983,1440,1915,254,25.9383385181427
134,0.40279987273305756,0.8731034482758621,0.5512736773350752,0.32956353223613805,0.1665577184508142,1266,1877,184,23.9559805393219
135,0.4162401116798511,0.8206422018348624,0.5523309663476382,0.3405600913744236,0.1544291213672321,1789,2509,391,24.99508810043335
136,0.4403202328966521,0.8768115942028986,0.5862403100775194,0.36026200873362446,0.18658859335715233,1210,1538,170,11.110977172851562
137,0.4312590448625181,0.8268590455049944,0.5668632299790755,0.35284830943296935,0.1800368372582555,1490,1965,312,14.502726554870605
138,0.45085470085470086,0.9350073855243722,0.6083613647284959,0.4098679098679099,0.24325304325304326,633,771,44,6.373151779174805
139,0.4355716878402904,0.8280621046578494,0.5708622398414271,0.35637683550569216,0.1859814112082715,1440,1866,299,13.979961156845093
14,0.6970052847915443,0.8938253012048193,0.7832398548333883,0.5702770511930817,0.28608872043986555,1187,516,141,4.76777720451355
140,0.4506984387838948,0.8603921568627451,0.5915341062280938,0.3687532680959139,0.19930156121610518,1097,1337,178,8.422757387161255
141,0.4191903092126235,0.8028083028083028,0.5507853403141362,0.3429738893557829,0.15854174515315733,1315,1822,323,8.58531928062439
