Filename,Segmentation Time (seconds)
0_1-16_245824983299933,0.3732461929321289
0_4-11_016700066800267,0.4702887535095215
0_6-16_245824983299933,0.41532254219055176
0_8-16_245824983299933,0.31917810440063477
100_12-11_55893536121673,0.28421902656555176
100_2-11_55893536121673,0.22996997833251953
100_3-11_55893536121673,0.2669527530670166
100_5-11_55893536121673,0.16300296783447266
101_1-11_55893536121673,0.2713601589202881
101_15-11_55893536121673,0.07775616645812988
101_16-11_55893536121673,0.06478095054626465
102_1-11_55893536121673,0.2668755054473877
102_14-11_55893536121673,0.10767173767089844
102_16-11_55893536121673,0.07266736030578613
103_14-11_55893536121673,0.05581045150756836
103_15-11_55893536121673,0.06170916557312012
103_18-11_55893536121673,0.05086350440979004
104_0-11_55893536121673,0.3174610137939453
104_10-11_55893536121673,0.3017561435699463
104_14-11_55893536121673,0.0663447380065918
104_15-11_55893536121673,0.07172989845275879
104_19-11_55893536121673,0.0854642391204834
104_5-11_55893536121673,0.39644670486450195
104_6-6_64638783269962,0.17966985702514648
104_8-11_55893536121673,0.42884254455566406
105_11-11_55893536121673,0.23106098175048828
105_2-11_55893536121673,0.2795565128326416
106_19-11_55893536121673,0.2627859115600586
106_9-11_55893536121673,0.3296797275543213
107_1-11_55893536121673,0.27236366271972656
107_10-11_55893536121673,0.28127121925354004
107_13-6_64638783269962,0.1875920295715332
107_14-11_55893536121673,0.09038066864013672
107_15-11_55893536121673,0.08635425567626953
107_3-11_55893536121673,0.3507859706878662
107_4-11_55893536121673,0.2600436210632324
108_10-11_55893536121673,0.22300291061401367
108_11-11_55893536121673,0.2123119831085205
108_19-11_55893536121673,0.07914185523986816
109_13-6_64638783269962,0.10384488105773926
109_14-11_55893536121673,0.0827646255493164
109_16-11_55893536121673,0.0816190242767334
109_17-11_55893536121673,0.09152984619140625
109_3-11_55893536121673,0.2746889591217041
109_7-11_55893536121673,0.22377848625183105
110_10-11_55893536121673,0.35286784172058105
110_12-11_55893536121673,0.21243786811828613
110_17-11_55893536121673,0.09370112419128418
110_18-11_55893536121673,0.06673979759216309
110_3-11_55893536121673,0.2296149730682373
110_8-11_55893536121673,0.2554051876068115
111_12-11_55893536121673,0.29202771186828613
111_14-11_55893536121673,0.0758817195892334
111_17-11_55893536121673,0.10242176055908203
111_19-11_55893536121673,0.08362507820129395
111_2-11_55893536121673,0.2856292724609375
112_14-11_55893536121673,0.044217586517333984
112_16-11_55893536121673,0.04528617858886719
112_17-11_55893536121673,0.0409693717956543
112_2-11_55893536121673,0.24999427795410156
112_3-11_55893536121673,0.18403196334838867
113_12-11_55893536121673,0.23555541038513184
113_13-6_64638783269962,0.12768101692199707
113_15-11_55893536121673,0.057679176330566406
113_4-11_55893536121673,0.18964314460754395
113_7-11_55893536121673,0.26644062995910645
114_11-11_55893536121673,0.20026087760925293
114_3-11_55893536121673,0.21555185317993164
114_5-11_55893536121673,0.21496963500976562
115_0-11_55893536121673,0.10493803024291992
115_16-11_55893536121673,0.015164375305175781
115_2-11_55893536121673,0.051902055740356445
115_9-11_55893536121673,0.04407978057861328
116_8-11_55893536121673,0.20400547981262207
117_1-11_55893536121673,0.20728302001953125
117_13-6_64638783269962,0.14509129524230957
117_16-11_55893536121673,0.05147838592529297
118_19-11_55893536121673,0.08233237266540527
118_8-11_55893536121673,0.18976593017578125
119_10-11_55893536121673,0.07003903388977051
119_13-6_64638783269962,0.07458305358886719
119_6-6_64638783269962,0.07860112190246582
119_8-11_55893536121673,0.0943903923034668
11_2-16_245824983299933,0.36298346519470215
11_3-16_245824983299933,0.3395974636077881
11_4-11_016700066800267,0.24140214920043945
120_16-11_55893536121673,0.07813000679016113
120_7-11_55893536121673,0.18216562271118164
120_8-11_55893536121673,0.19653677940368652
121_1-11_55893536121673,0.24031782150268555
121_10-11_55893536121673,0.1764538288116455
121_11-11_55893536121673,0.22293972969055176
121_19-11_55893536121673,0.07232022285461426
121_9-11_55893536121673,0.2194967269897461
122_12-11_55893536121673,0.19500088691711426
122_13-6_64638783269962,0.13874220848083496
122_7-11_55893536121673,0.1978435516357422
123_12-11_55893536121673,0.22452926635742188
123_15-11_55893536121673,0.055547475814819336
123_16-11_55893536121673,0.07773780822753906
123_17-11_55893536121673,0.07981204986572266
123_19-11_55893536121673,0.05696439743041992
124_1-11_55893536121673,0.2861146926879883
124_10-11_55893536121673,0.22945761680603027
124_16-11_55893536121673,0.05500006675720215
124_2-11_55893536121673,0.20068693161010742
124_5-11_55893536121673,0.1917405128479004
124_7-11_55893536121673,0.2294156551361084
125_0-11_55893536121673,0.14393973350524902
125_19-11_55893536121673,0.04344677925109863
125_3-11_55893536121673,0.16941046714782715
126_12-11_55893536121673,0.1931009292602539
126_13-6_64638783269962,0.1454179286956787
126_16-11_55893536121673,0.1406257152557373
127_14-11_55893536121673,0.11765480041503906
127_15-11_55893536121673,0.11008548736572266
127_17-11_55893536121673,0.08631134033203125
127_20-6_64638783269962,0.05397939682006836
127_9-11_55893536121673,0.31398653984069824
128_14-11_55893536121673,0.056413888931274414
128_15-11_55893536121673,0.05666494369506836
128_4-11_55893536121673,0.19157862663269043
128_5-11_55893536121673,0.21508002281188965
128_7-11_55893536121673,0.15978121757507324
129_13-6_64638783269962,0.1717054843902588
129_14-11_55893536121673,0.09214115142822266
129_15-11_55893536121673,0.07816219329833984
129_2-11_55893536121673,0.2682983875274658
129_20-6_64638783269962,0.05515933036804199
129_3-11_55893536121673,0.31096887588500977
12_1-16_245824983299933,0.38419437408447266
12_5-16_245824983299933,0.2908964157104492
130_0-11_55893536121673,0.23336291313171387
130_12-11_55893536121673,0.2518768310546875
130_14-11_55893536121673,0.06960248947143555
130_19-11_55893536121673,0.052490234375
130_6-6_64638783269962,0.13759660720825195
131_12-11_55893536121673,0.10075163841247559
131_18-11_55893536121673,0.05018949508666992
132_0-11_55893536121673,0.24062180519104004
132_16-11_55893536121673,0.07287096977233887
132_20-6_64638783269962,0.03215837478637695
132_8-11_55893536121673,0.24645352363586426
133_1-11_55893536121673,0.24303340911865234
133_19-11_55893536121673,0.07394695281982422
134_13-6_64638783269962,0.0805819034576416
134_15-11_55893536121673,0.03837728500366211
134_20-6_64638783269962,0.0321202278137207
