DropletID,CenterX,CenterY,Area,OverlappedDropletsID,,DropletID_GT,CenterX_GT,CenterY_GT,Area_GT,OverlappedDropletsID_GT
3,1305.0,435.0,12.5,[],,1461.0,1302.0,434.0,12.0,"[1468, 1470]"
4,1125.0,167.0,13.0,[],,1237.0,1125.0,168.0,17.0,[]
11,974.0,221.0,9.0,[],,1065.0,974.0,221.0,11.0,[]
12,222.0,216.0,18.0,[],,250.0,222.0,214.0,21.0,"[236, 239, 244, 255]"
21,157.0,70.0,15.0,[],,175.0,159.0,70.0,16.0,"[174, 178, 183]"
23,752.0,100.0,14.5,[],,828.0,753.0,101.0,19.0,[827]
25,1330.0,6.0,17.5,[],,1495.0,1330.0,8.0,15.0,"[1486, 1491, 1507]"
50,1182.0,231.0,5.5,[],,1307.0,1184.0,231.0,6.0,[1303]
74,1360.0,81.0,8.0,[],,1528.0,1357.0,83.0,10.0,[1532]
207,1293.0,32.0,5.0,[],,1450.0,1293.0,32.0,9.0,[]
226,25.0,460.0,5.0,[],,26.0,23.0,463.0,7.0,[22]
413,612.0,455.0,3.0,[],,665.0,612.0,455.0,4.0,[]
516,799.0,202.0,6.0,[],,883.0,799.0,203.0,3.0,[]
517,354.0,408.0,6.0,[],,384.0,354.0,408.0,4.0,[]
518,1005.0,129.0,5.0,[],,1086.0,1006.0,130.0,4.0,[]
519,251.0,406.0,0.5,[],,276.0,252.0,407.0,3.0,[]
520,284.0,383.0,0.5,[],,321.0,285.0,384.0,4.0,[]
521,316.0,297.0,0.5,[],,355.0,317.0,298.0,4.0,[]
522,197.0,259.0,0.5,[],,214.0,198.0,260.0,3.0,[]
549,1083.0,462.0,19.5,[],,1191.0,1083.0,463.0,17.0,[]
558,1092.0,399.0,22.0,[],,1201.0,1092.0,399.0,18.0,[]
589,354.0,408.0,4.0,[],,384.0,354.0,408.0,4.0,[]
