DropletID,CenterX,CenterY,Area,OverlappedDropletsID,,DropletID_GT,CenterX_GT,CenterY_GT,Area_GT,OverlappedDropletsID_GT
4,396.0,462.0,67.5,[],,667.0,397.0,463.0,63.5,[]
10,55.0,461.0,43.0,[],,92.0,56.0,462.0,44.0,[]
13,1118.0,462.0,99.0,[],,1841.0,1119.0,463.0,95.0,[1842]
14,424.0,460.0,53.5,[],,710.0,424.0,460.0,53.5,[]
15,91.0,462.0,89.5,[],,153.0,92.0,462.0,95.0,[]
18,158.0,456.0,11.0,[],,253.0,159.0,456.0,15.0,[]
19,924.0,458.0,66.0,[],,1525.0,924.0,459.0,58.5,[]
21,914.0,454.0,18.5,[],,1513.0,915.0,454.0,14.0,[]
25,724.0,453.0,33.0,[],,1210.0,725.0,454.0,31.0,[]
27,1166.0,449.0,19.0,[],,1917.0,1167.0,450.0,12.5,[]
30,50.0,450.0,43.0,[],,87.0,51.0,451.0,44.0,[]
31,449.0,453.0,162.5,[],,752.0,450.0,454.0,159.5,[]
37,115.0,449.0,95.0,[],,185.0,116.0,449.0,95.0,[]
43,1011.0,439.0,16.0,[],,1679.0,1012.0,439.0,15.0,[]
45,27.0,438.0,8.5,[],,44.0,28.0,439.0,12.5,[]
46,227.0,438.0,30.0,[],,384.0,228.0,439.0,31.0,[]
49,493.0,438.0,44.0,[],,819.0,494.0,439.0,44.0,[]
51,519.0,436.0,67.0,[],,860.0,520.0,437.0,66.0,[]
55,34.0,433.0,25.5,[],,55.0,34.0,434.0,27.5,[]
59,66.0,434.0,95.0,[],,110.0,67.0,434.0,95.0,[]
60,819.0,431.0,50.26548245743669,[61],,1353.0,820.0,432.0,55.5,[]
65,41.0,426.0,65.0,[],,69.0,42.0,427.0,66.0,[]
66,739.0,422.0,13.5,[],,1236.0,740.0,423.0,13.5,[]
68,843.0,421.0,3.5,[],,1395.0,843.0,422.0,5.5,[]
69,3.0,424.0,56.5,[],,7.0,4.0,425.0,50.5,[]
74,676.0,423.0,166.5,[],,1141.0,677.0,424.0,159.5,[]
78,1003.0,416.0,19.5,[],,1666.0,1004.0,417.0,13.5,[]
79,865.0,418.0,49.5,[],,1437.0,866.0,419.0,44.0,[]
83,401.0,415.0,11.0,[],,675.0,402.0,415.0,15.0,[]
90,443.0,413.0,96.0,[],,746.0,444.0,413.0,95.0,[]
93,267.0,409.0,63.5,[],,448.0,268.0,409.0,63.5,[]
96,311.0,409.0,95.0,[],,513.0,312.0,409.0,95.0,[]
99,740.0,407.0,100.0,[],,1239.0,741.0,407.0,95.0,[]
101,284.0,404.0,38.0,[],,472.0,284.0,405.0,39.0,[]
102,418.0,402.0,56.0,[],,701.0,419.0,403.0,57.0,[]
111,640.0,400.0,99.0,[],,1081.0,641.0,400.0,95.0,[]
112,1095.0,395.0,30.5,[],,1807.0,1095.0,396.0,23.0,[]
113,821.0,399.0,104.0,[],,1357.0,822.0,399.0,95.0,[]
116,516.0,392.0,14.0,[],,853.0,517.0,392.0,14.0,[]
117,43.0,396.0,95.0,[],,71.0,44.0,396.0,95.0,[]
122,19.5,388.5,0.5,[],,30.0,20.0,389.0,5.5,[]
123,838.0,391.0,71.0,[],,1382.0,839.0,392.0,62.5,[1387]
124,486.0,390.0,32.0,[],,810.0,487.0,391.0,31.0,[]
126,435.0,392.0,162.5,[],,735.0,436.0,393.0,159.5,[729]
128,246.0,387.0,41.0,[],,412.0,246.0,388.0,44.0,[]
132,112.0,384.0,106.5,[],,179.0,112.0,385.0,106.5,[]
134,871.0,383.0,104.0,[],,1441.0,872.0,383.0,95.0,[]
135,202.0,380.0,64.0,[],,335.0,203.0,381.0,66.0,[]
142,31.0,382.0,214.5,[],,52.0,32.0,382.0,214.5,[]
144,99.0,375.0,48.5,[],,165.0,100.0,375.0,50.5,[]
154,57.0,375.0,159.5,[],,94.0,58.0,376.0,159.5,[]
156,113.0,370.0,54.0,[],,180.0,114.0,371.0,57.0,[]
159,685.0,368.0,22.0,[],,1151.0,686.0,369.0,22.0,[]
164,294.0,363.0,27.0,[],,484.0,294.0,364.0,27.0,[]
166,141.0,361.0,8.0,[],,228.0,142.0,362.0,12.5,[]
168,410.0,362.0,50.5,[],,684.0,410.0,363.0,50.5,[]
170,471.0,360.0,44.0,[],,787.0,472.0,361.0,44.0,[]
171,95.5,357.5,1.0,[],,158.0,95.0,358.0,5.0,[]
173,668.0,362.0,99.0,[],,1129.0,669.0,362.0,95.0,[]
175,479.5,356.5,1.0,[],,798.0,479.0,357.0,5.0,[]
177,29.0,362.0,95.0,[],,49.0,30.0,362.0,95.0,[]
185,653.0,355.0,99.0,[],,1102.0,654.0,355.0,95.0,[]
186,150.0,355.0,104.0,[],,240.0,150.0,355.0,95.0,[243]
187,110.0,354.0,163.5,[],,175.0,110.0,355.0,165.5,[]
189,710.0,350.0,71.0,[],,1192.0,711.0,351.0,66.0,[]
192,371.0,348.0,11.5,[],,614.0,372.0,348.0,11.5,[]
194,827.0,351.0,101.0,[],,1364.0,828.0,351.0,95.0,[]
