DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID,,DropletID_GT,isElipse_GT,CenterX_GT,CenterY_GT,Diameter_GT,OverlappedDropletsID_GT
1,False,166.0,384.0,22.336000442504883,[],,240.0,True,168.0,385.0,22.0,[187]
2,False,869.0,197.0,27.668865203857422,[],,279.0,True,870.0,198.0,26.0,[441]
5,True,629.0,297.0,15.857142857142856,"[6, 7]",,263.0,True,631.0,296.0,14.0,[522]
8,True,823.0,278.0,29.513513513513516,[9],,514.0,True,825.0,282.0,34.0,[284]
10,False,1162.0,186.0,17.61411476135254,[],,57.0,True,1163.0,187.0,18.0,[]
11,True,1117.0,139.0,31.39130434782609,[],,392.0,True,1117.0,142.0,28.0,"[87, 346]"
12,False,722.0,228.0,43.045875549316406,[],,227.0,True,724.0,230.0,42.0,"[101, 307]"
13,True,1347.0,133.0,22.88888888888889,[14],,312.0,True,1347.0,135.0,20.0,[479]
14,True,879.0,522.0,21.75,[15],,530.0,True,881.0,524.0,26.0,[331]
15,True,859.0,562.0,19.846153846153847,"[16, 17]",,525.0,True,861.0,564.0,20.0,[476]
17,True,952.0,571.0,24.714285714285708,[18],,395.0,True,954.0,574.0,26.0,[107]
18,True,881.0,15.0,22.774193548387096,[19],,5.0,True,882.0,17.0,26.0,"[472, 563]"
19,True,327.0,216.0,18.0,"[20, 21]",,287.0,True,328.0,218.0,18.0,[306]
20,True,1217.0,487.0,18.63157894736842,[21],,282.0,True,1218.0,491.0,18.0,[]
21,True,653.0,499.0,22.22222222222222,[22],,330.0,True,656.0,502.0,22.0,"[458, 547]"
22,True,1435.0,568.0,23.416666666666664,[23],,162.0,True,1437.0,568.0,22.0,[]
23,True,1706.0,69.0,20.560000000000002,[24],,427.0,True,1710.0,69.0,22.0,"[261, 583]"
24,True,1513.0,164.0,17.23076923076923,[25],,30.0,True,1514.0,166.0,20.0,[372]
25,False,1388.0,164.0,31.241199493408203,[],,329.0,True,1389.0,165.0,30.0,[]
26,False,1729.0,91.0,31.241199493408203,[],,113.0,True,1730.0,92.0,30.0,[]
27,False,1568.0,71.0,31.241199493408203,[],,176.0,True,1569.0,72.0,30.0,[]
30,True,585.0,433.0,20.0,[31],,429.0,True,586.0,435.0,22.0,[108]
32,True,1670.0,66.0,12.8,[33],,383.0,True,1672.0,67.0,14.0,[559]
33,True,305.0,468.0,16.923076923076923,[34],,56.0,True,307.0,470.0,18.0,[143]
35,False,1490.0,546.0,29.029556274414062,[],,126.0,True,1492.0,548.0,28.0,[]
36,False,933.0,535.0,29.029556274414062,[],,208.0,True,935.0,537.0,28.0,[]
37,False,1510.0,430.0,29.029497146606445,[],,91.0,True,1512.0,432.0,28.0,[]
38,False,790.0,283.0,29.029497146606445,[],,35.0,True,792.0,285.0,28.0,[]
39,False,952.0,332.0,29.0062255859375,[],,33.0,True,954.0,334.0,28.0,[]
40,False,1203.0,255.0,29.029525756835938,[],,300.0,True,1205.0,257.0,28.0,[]
41,False,1122.0,406.0,28.926513671875,[],,524.0,True,1124.0,408.0,28.0,[337]
43,True,554.0,126.0,16.545454545454547,[44],,256.0,True,556.0,128.0,18.0,[25]
44,True,853.0,311.0,14.0,[45],,500.0,True,857.0,310.0,14.0,[503]
48,False,1626.0,570.0,27.109224319458008,[],,506.0,True,1628.0,572.0,26.0,[]
49,False,369.0,520.0,27.109241485595703,[],,355.0,True,371.0,522.0,26.0,[]
50,False,1673.0,512.0,27.109224319458008,[],,141.0,True,1675.0,514.0,26.0,[]
51,False,269.0,472.0,27.10918426513672,[],,100.0,True,271.0,474.0,26.0,[]
52,False,1665.0,385.0,27.10916519165039,[],,445.0,True,1667.0,387.0,26.0,[]
53,False,1660.0,341.0,27.10916519165039,[],,145.0,True,1662.0,343.0,26.0,[]
54,False,670.0,214.0,27.109195709228516,[],,104.0,True,672.0,216.0,26.0,[]
55,False,100.0,70.0,27.109203338623047,[],,60.0,True,102.0,72.0,26.0,[]
56,False,129.0,65.0,27.109203338623047,[],,424.0,True,131.0,67.0,26.0,[188]
59,True,941.0,416.0,17.2,[60],,161.0,True,944.0,419.0,18.0,"[454, 462]"
60,True,893.0,290.0,19.5,[61],,109.0,True,895.0,291.0,22.0,[278]
64,True,1029.0,467.0,13.428571428571429,[65],,399.0,True,1032.0,469.0,16.0,[328]
66,False,1062.0,128.0,24.738834381103516,[],,305.0,True,1063.0,129.0,24.0,[81]
67,False,51.0,474.0,24.627578735351562,[],,447.0,True,53.0,476.0,24.0,[]
68,False,1721.0,440.0,24.6275691986084,[],,357.0,True,1723.0,442.0,24.0,[]
69,False,353.0,425.0,24.62758445739746,[],,148.0,True,355.0,427.0,24.0,[]
70,False,335.0,328.0,24.62758445739746,[],,173.0,True,337.0,330.0,24.0,[]
71,False,273.0,183.0,24.627614974975586,[],,443.0,True,275.0,185.0,24.0,[]
72,False,184.0,138.0,24.627607345581055,[],,49.0,True,186.0,140.0,24.0,[]
73,False,227.0,71.0,24.627607345581055,[],,490.0,True,229.0,73.0,24.0,[]
74,False,1284.0,44.0,24.627592086791992,[],,213.0,True,1286.0,46.0,24.0,[]
75,True,390.0,289.0,11.2,[],,402.0,True,392.0,290.0,10.0,[]
