DropletID,CenterX,CenterY,Area,OverlappedDropletsID,,DropletID_GT,CenterX_GT,CenterY_GT,Area_GT,OverlappedDropletsID_GT
1,1106.0,462.0,11.5,[],,1004.0,1107.0,462.0,11.5,[]
4,763.0,460.0,4.0,[],,703.0,763.0,460.0,6.0,[]
9,776.0,459.0,109.0,[],,712.0,777.0,460.0,101.0,[]
14,618.0,455.0,57.5,[],,584.0,618.0,455.0,53.5,[]
17,846.0,456.0,99.0,[],,766.0,847.0,456.0,95.0,[]
18,373.0,459.0,301.0,[],,333.0,373.0,460.0,307.0,[336]
19,688.0,453.0,53.5,[],,640.0,689.0,453.0,50.5,[]
20,1344.0,454.0,99.0,[],,1223.0,1345.0,454.0,95.0,[]
21,760.0,450.0,29.5,[],,700.0,760.0,451.0,27.5,[]
24,102.0,449.0,50.0,[],,93.0,102.0,450.0,44.0,[]
26,1263.0,448.0,99.0,[],,1150.0,1264.0,448.0,95.0,[]
27,1068.0,445.0,58.5,[],,969.0,1068.0,446.0,55.5,[]
31,1339.0,441.0,28.5,[],,1218.0,1339.0,442.0,27.5,[]
32,1043.0,442.0,32.0,[],,948.0,1044.0,443.0,31.0,[]
35,304.0,443.0,104.0,[],,273.0,305.0,443.0,95.0,[]
38,560.0,441.0,103.0,[],,518.0,561.0,441.0,95.0,[]
39,445.0,441.0,103.0,[],,407.0,446.0,441.0,95.0,[]
41,51.0,436.0,14.0,[],,62.0,52.0,437.0,12.5,[]
44,823.0,435.0,44.0,[],,747.0,823.0,436.0,39.0,[]
46,1150.0,435.0,65.5,[],,1045.0,1151.0,436.0,62.5,[]
48,613.0,434.0,56.0,[],,579.0,614.0,434.0,50.5,[]
49,342.0,433.0,60.5,[],,305.0,342.0,434.0,55.5,[]
53,1302.0,433.0,134.0,[],,1182.0,1302.0,433.0,125.0,[]
54,764.0,432.0,50.26548245743669,[55],,704.0,764.0,431.0,44.0,[701]
55,415.0,430.0,34.5,[],,375.0,416.0,431.0,31.5,[]
56,1114.0,429.0,41.0,[],,1010.0,1114.0,430.0,39.0,[]
57,686.0,432.0,103.0,[],,638.0,687.0,432.0,95.0,[]
58,1088.0,428.0,31.5,[],,987.0,1089.0,429.0,31.5,[]
60,1208.0,427.0,71.0,[],,1096.0,1209.0,428.0,66.0,[]
61,981.0,429.0,107.0,[],,889.0,982.0,430.0,101.0,[]
63,482.0,427.0,28.274333882308138,[62],,449.0,483.0,428.0,31.0,[]
66,503.0,427.0,71.5,[],,463.0,504.0,428.0,63.5,[]
69,263.0,423.0,55.5,[],,239.0,264.0,423.0,50.5,[]
70,33.0,423.0,51.0,[],,39.0,34.0,424.0,44.0,[]
71,1136.0,421.0,31.0,[],,1033.0,1137.0,422.0,31.0,[]
73,544.0,422.0,63.5,[],,501.0,544.0,423.0,58.5,[]
74,125.0,422.0,62.5,[],,115.0,125.0,423.0,57.5,[]
75,310.0,419.0,26.0,[],,276.0,310.0,420.0,23.0,[]
77,1333.0,416.0,18.0,[],,1215.0,1334.0,417.0,19.0,[]
79,983.0,415.0,32.0,[],,891.0,984.0,416.0,31.0,[]
80,1122.0,415.0,110.5,[],,1019.0,1122.0,416.0,106.5,[]
81,751.0,415.0,108.0,[],,694.0,752.0,416.0,101.0,[]
82,1301.0,410.0,8.0,[],,1181.0,1302.0,411.0,9.0,[]
83,607.0,412.0,48.0,[],,570.0,608.0,413.0,44.0,[]
85,1261.0,412.0,55.5,[],,1149.0,1261.0,412.0,53.5,[]
86,1357.0,409.0,23.0,[],,1229.0,1357.0,410.0,23.0,[]
87,199.0,409.0,104.0,[],,177.0,200.0,409.0,95.0,[]
88,1317.0,411.0,223.5,[],,1202.0,1318.0,411.0,214.5,[]
89,490.0,404.0,45.0,[],,455.0,490.0,405.0,39.0,[]
90,1203.0,405.0,99.0,[],,1092.0,1204.0,405.0,95.0,[]
97,380.0,399.0,34.0,[],,340.0,381.0,400.0,31.0,[]
98,155.0,401.0,64.5,[],,140.0,155.0,402.0,58.5,[]
99,1136.0,398.0,67.5,[],,1032.0,1137.0,399.0,63.5,[]
100,1027.0,399.0,72.0,[],,935.0,1028.0,400.0,66.0,[]
101,512.0,397.0,29.5,[],,471.0,512.0,398.0,27.5,[]
102,132.0,401.0,104.0,[],,124.0,133.0,401.0,95.0,[]
103,257.0,395.0,5.0,[],,234.0,258.0,395.0,6.0,[]
106,1300.0,398.0,99.0,[],,1178.0,1301.0,398.0,95.0,[]
107,1104.0,395.0,31.0,[],,1002.0,1105.0,396.0,31.0,[]
109,649.0,395.0,12.566370614359172,[108],,613.0,650.0,395.0,19.0,[]
113,723.0,389.0,12.566370614359172,[112],,672.0,724.0,390.0,5.0,[]
114,129.0,389.0,14.0,[],,120.0,130.0,390.0,12.5,[]
115,1153.0,387.0,29.5,[],,1046.0,1153.0,388.0,27.5,[]
116,1261.0,388.0,60.5,[],,1148.0,1261.0,389.0,58.5,[]
120,815.0,386.0,65.5,[],,741.0,816.0,387.0,62.5,[]
124,1250.0,383.0,50.26548245743669,"[125, 126]",,1143.0,1250.0,382.0,41.5,[1139]
126,209.0,381.0,34.0,[],,187.0,210.0,382.0,31.0,[]
127,698.0,382.0,102.0,[],,650.0,699.0,382.0,95.0,[]
128,367.0,382.0,104.0,[],,328.0,368.0,382.0,95.0,[]
129,333.0,382.0,103.0,[],,296.0,334.0,382.0,95.0,[]
130,355.0,376.0,15.5,[],,318.0,356.0,377.0,13.5,[]
133,1019.0,377.0,113.5,[],,926.0,1020.0,377.0,108.5,[]
135,622.0,374.0,28.5,[],,589.0,623.0,375.0,26.5,[]
137,1324.0,374.0,50.5,[],,1208.0,1325.0,374.0,50.5,[]
138,659.0,374.0,74.0,[],,622.0,660.0,375.0,66.0,[]
139,1239.0,374.0,113.5,[],,1135.0,1240.0,374.0,108.5,[]
142,1191.0,371.0,124.5,[],,1081.0,1192.0,372.0,117.5,[1077]
144,183.0,369.0,61.5,[],,163.0,183.0,370.0,55.5,[]
