DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID,,DropletID_GT,isElipse_GT,CenterX_GT,CenterY_GT,Diameter_GT,OverlappedDropletsID_GT
0,False,241.0,172.0,38.087242126464844,[],,391.0,True,241.0,174.0,38.0,"[469, 772]"
2,False,1362.0,149.0,25.732898712158203,[],,784.0,True,1362.0,150.0,24.0,[557]
6,True,1217.0,309.0,18.571428571428573,"[7, 8]",,380.0,True,1218.0,310.0,18.0,[]
7,False,1732.0,480.0,30.118804931640625,[],,643.0,True,1732.0,481.0,30.0,[]
8,True,1537.0,308.0,19.23076923076923,"[9, 10, 11]",,505.0,True,1539.0,309.0,18.0,[641]
12,True,1040.0,19.0,21.68421052631579,"[13, 14]",,506.0,True,1040.0,20.0,22.0,"[77, 608]"
14,True,1564.0,129.0,20.666666666666668,"[15, 16]",,42.0,True,1566.0,132.0,18.0,"[131, 155]"
17,True,1417.0,221.0,27.15,[18],,422.0,True,1415.0,221.0,26.0,"[118, 659]"
21,False,711.0,454.0,20.000200271606445,[],,216.0,True,711.0,455.0,20.0,[775]
23,True,1210.0,272.0,17.36842105263158,[24],,560.0,True,1210.0,274.0,22.0,[15]
26,True,1090.0,440.0,32.349999999999994,[27],,322.0,True,1092.0,439.0,30.0,[581]
29,True,579.0,96.0,18.22222222222222,[30],,782.0,True,580.0,97.0,14.0,[]
30,False,1321.0,527.0,11.49068546295166,[],,56.0,True,1322.0,528.0,12.0,[63]
31,True,796.0,261.0,17.444444444444443,[32],,452.0,True,794.0,262.0,16.0,[658]
32,True,895.0,90.0,22.538461538461537,[33],,251.0,True,895.0,92.0,26.0,[158]
33,True,202.0,220.0,16.533333333333335,[34],,620.0,True,202.0,222.0,18.0,[325]
34,True,184.0,124.0,17.09090909090909,"[35, 36]",,217.0,True,185.0,127.0,16.0,"[558, 773]"
35,True,767.0,201.0,22.17391304347826,[36],,592.0,True,767.0,205.0,22.0,[]
36,True,1017.0,138.0,26.416666666666668,[37],,245.0,True,1017.0,139.0,26.0,[281]
39,True,672.0,253.0,22.285714285714285,[40],,660.0,True,672.0,254.0,24.0,[247]
40,True,1529.0,59.0,24.0,[41],,456.0,True,1530.0,58.0,22.0,"[36, 549]"
42,False,558.0,318.0,32.922855377197266,[],,363.0,True,559.0,320.0,32.0,[]
43,False,305.0,26.0,32.92283630371094,[],,587.0,True,306.0,28.0,32.0,[722]
44,True,1346.0,358.0,26.518518518518523,[45],,232.0,True,1348.0,356.0,22.0,[833]
45,True,1242.0,256.0,23.652173913043477,[46],,234.0,True,1242.0,258.0,28.0,[800]
49,False,613.0,104.0,31.27075958251953,[],,167.0,True,613.0,105.0,30.0,[280]
