DropletID,CenterX,CenterY,Area,OverlappedDropletsID
1,1,63,10,[]
2,2,42,12,[]
3,2,214,9,[17]
4,3,409,14,[9]
5,3,427,17,"[6, 23]"
6,3,430,16,"[5, 23]"
7,4,239,9,[14]
8,4,319,9,[15]
9,5,397,19,[4]
10,6,80,4,[]
11,7,372,4,[]
12,8,189,16,[]
13,8,255,8,[]
14,9,242,15,"[7, 22]"
15,9,317,15,[8]
16,9,332,11,[]
17,10,216,16,[3]
18,11,176,18,[]
19,11,457,19,[40]
20,12,346,21,"[25, 46]"
21,13,438,9,[23]
22,14,243,15,[14]
23,14,431,16,"[5, 6, 21]"
24,15,207,10,[]
25,16,343,6,[20]
26,17,76,16,[30]
27,17,97,9,[]
28,17,142,16,[]
29,17,158,11,[]
30,18,76,12,[26]
31,19,2,10,"[32, 37]"
32,19,12,21,[31]
33,19,421,10,[39]
34,20,128,11,[]
35,20,201,7,[]
36,20,456,7,[40]
37,21,0,9,[31]
38,21,331,19,[]
39,21,413,22,"[33, 44, 53]"
40,21,459,27,"[19, 36, 54]"
41,22,37,20,[]
42,22,270,12,"[48, 49]"
43,22,286,12,[49]
44,22,408,5,[39]
45,23,373,11,[59]
46,24,354,16,"[20, 50]"
47,25,86,14,[]
48,25,274,10,"[42, 49]"
49,25,276,15,"[42, 43, 48]"
50,25,347,8,[46]
51,26,62,12,[]
52,26,151,9,[]
53,26,419,4,[39]
54,27,464,14,"[40, 66, 67]"
55,28,204,12,[]
56,29,143,4,[]
57,29,232,18,[]
58,29,386,14,[65]
59,30,370,17,[45]
60,31,326,8,[]
61,32,25,9,[78]
62,32,272,8,[]
63,33,39,11,[]
64,33,112,17,"[68, 72, 94]"
65,33,388,12,[58]
66,33,465,9,"[67, 54]"
67,33,467,24,"[66, 54]"
68,35,109,21,"[64, 72, 94]"
69,35,169,21,[]
70,35,325,14,[]
71,36,94,25,"[79, 80, 97]"
72,36,114,19,"[64, 68, 94]"
73,36,262,18,"[83, 98]"
74,36,337,11,[]
75,37,239,9,[]
76,38,353,16,[]
77,38,443,20,[]
78,39,20,18,"[61, 85, 87, 93, 96, 101]"
79,39,95,6,"[71, 80, 97]"
80,39,97,7,"[71, 79, 97]"
81,40,51,10,[]
82,40,151,13,[89]
83,40,266,9,"[73, 88, 98]"
84,40,431,13,[]
85,41,14,18,[78]
86,41,64,10,[]
87,42,25,13,"[78, 93, 96, 101]"
88,42,274,24,"[83, 105]"
89,43,147,10,[82]
90,43,290,10,[]
91,43,378,6,[95]
92,43,412,17,[]
93,44,30,16,"[78, 87, 96, 101]"
94,44,113,17,"[64, 68, 72]"
95,44,375,12,[91]
96,45,33,19,"[78, 87, 93, 101, 110]"
97,45,93,17,"[71, 79, 80]"
98,45,264,7,"[73, 83]"
99,46,331,21,[]
100,47,252,13,"[106, 103]"
101,48,25,14,"[78, 87, 93, 96]"
102,48,126,10,[]
103,49,252,6,"[106, 100]"
104,49,456,15,[113]
105,50,271,14,[88]
106,51,253,8,"[100, 103]"
107,51,445,5,[]
108,52,166,11,[]
109,52,233,19,[]
110,56,40,20,[96]
111,56,213,7,[112]
112,58,208,22,[111]
113,58,453,18,"[124, 138, 104]"
114,59,140,12,[]
115,59,434,17,[137]
116,60,60,17,[129]
117,61,271,6,[]
118,61,299,15,[119]
119,61,300,15,[118]
120,61,387,19,"[121, 128, 136]"
121,61,391,18,"[120, 128, 136]"
122,62,118,15,[]
123,62,442,7,[137]
124,62,459,14,"[113, 138]"
125,63,247,8,[]
126,63,311,6,[]
127,63,335,15,[]
128,63,385,15,"[120, 121, 136]"
129,64,55,14,[116]
130,64,359,13,[]
131,65,180,6,[]
132,66,25,14,[146]
133,67,100,17,[150]
134,67,232,10,[]
135,67,320,13,[]
136,67,394,13,"[120, 121, 128, 145]"
137,67,439,13,"[115, 123]"
138,67,455,16,"[113, 124, 156]"
139,68,79,21,[]
140,68,107,6,[150]
141,68,375,11,[161]
142,69,214,13,"[155, 157]"
143,69,431,8,[]
144,70,161,12,"[147, 153]"
145,71,399,13,[136]
146,72,37,19,[132]
147,72,167,10,[144]
148,72,223,11,[155]
149,72,333,3,[]
150,73,106,15,"[133, 140]"
151,73,295,5,[]
152,74,3,20,"[163, 165]"
153,74,160,7,[144]
154,74,199,11,[]
155,74,213,19,"[142, 148, 157, 169]"
156,74,461,17,"[138, 162, 170]"
157,76,214,7,"[142, 155]"
158,76,238,26,[164]
159,78,148,8,[]
160,78,329,14,[]
161,78,375,17,[141]
162,79,456,14,"[156, 170, 174]"
163,80,10,12,"[152, 171]"
164,81,244,18,[158]
165,83,1,7,"[152, 171]"
166,83,410,15,[]
167,83,446,14,[]
168,84,60,19,[182]
169,84,213,20,"[155, 185]"
170,84,459,17,"[156, 162, 174]"
171,85,4,7,"[163, 165]"
172,85,180,13,[]
173,85,190,18,[]
174,85,457,9,"[162, 170]"
175,86,174,6,[]
176,88,264,19,[]
177,89,78,7,[]
178,90,424,17,[]
179,91,294,15,[]
180,91,320,21,[]
181,91,351,11,[]
182,92,56,15,[168]
183,92,290,11,[]
184,94,39,20,[]
185,94,218,16,"[186, 169]"
186,94,225,10,"[185, 188]"
187,95,87,22,[193]
188,95,229,12,[186]
189,96,140,15,[]
190,96,283,9,"[196, 199]"
191,96,393,12,[]
192,96,425,12,[]
193,97,94,7,[187]
194,99,184,13,[]
195,100,70,20,[]
196,100,281,10,"[190, 199]"
197,100,303,15,[]
198,101,246,14,[]
199,101,288,15,"[190, 196]"
200,101,339,12,[]
201,102,116,14,[]
202,102,436,18,[]
203,102,464,15,[]
204,105,168,26,[]
