DropletID,CenterX,CenterY,Area,OverlappedDropletsID
1,0,304,20,[3]
2,1,175,6,[]
3,1,293,17,[1]
4,1,404,10,[8]
5,2,36,14,[12]
6,2,431,14,[]
7,3,214,16,[]
8,4,408,6,[4]
9,5,22,13,[12]
10,5,319,17,"[18, 29]"
11,5,439,6,[]
12,7,28,14,"[5, 9]"
13,7,267,12,[16]
14,9,164,12,[]
15,9,253,8,[20]
16,9,278,21,"[13, 21, 28]"
17,10,75,12,[27]
18,10,315,19,"[10, 29]"
19,10,394,7,[]
20,11,258,11,[15]
21,12,275,12,"[16, 28]"
22,13,1,11,[30]
23,14,145,17,[]
24,16,91,21,[39]
25,17,356,24,[]
26,17,405,9,[37]
27,18,73,19,"[17, 33, 39]"
28,18,278,16,"[16, 21]"
29,18,319,20,"[10, 18]"
30,19,0,12,[22]
31,19,339,13,[34]
32,19,388,16,[]
33,21,74,11,"[27, 39]"
34,21,336,15,[31]
35,21,413,5,[40]
36,23,224,21,[44]
37,23,403,13,"[26, 40]"
38,23,459,6,[]
39,25,81,16,"[24, 27, 33]"
40,26,412,14,"[35, 37]"
41,26,440,12,[]
42,27,29,12,[43]
43,28,38,15,[42]
44,28,224,11,[36]
45,28,451,16,[]
46,30,276,13,[]
47,31,113,13,[]
48,32,211,16,[53]
49,35,70,19,[64]
50,35,264,17,[56]
51,35,364,16,[]
52,35,429,8,[]
53,36,213,22,[48]
54,36,413,14,[]
55,37,112,17,"[60, 67, 72]"
56,37,274,15,"[50, 70]"
57,37,326,17,"[58, 61, 62]"
58,37,334,20,"[57, 61, 62]"
59,38,295,17,[63]
60,39,117,10,"[55, 67]"
61,39,326,6,"[57, 58, 62]"
62,40,325,15,"[57, 58, 61]"
63,42,308,28,[59]
64,43,69,16,"[49, 71]"
65,43,185,17,[]
66,44,93,4,[]
67,44,115,13,"[55, 60, 72]"
68,45,132,9,"[73, 69]"
69,46,126,17,"[73, 68]"
70,46,282,21,[56]
71,47,75,11,[64]
72,49,113,16,"[55, 67]"
73,50,127,23,"[68, 69]"
74,50,379,20,[]
75,51,42,23,[]
76,52,354,17,[]
77,54,93,10,[]
78,55,140,6,[]
79,57,234,20,[]
80,57,247,15,[95]
81,58,371,16,"[88, 90]"
82,59,345,15,[87]
83,59,389,9,[]
84,59,455,10,[]
85,61,5,22,[]
86,61,280,11,[99]
87,61,348,13,[82]
88,61,374,18,"[81, 90]"
89,61,437,11,[92]
90,62,367,23,"[81, 88, 97]"
91,63,121,12,"[94, 98]"
92,63,443,19,"[89, 100]"
93,65,36,13,[]
94,65,128,18,[91]
95,65,244,11,[80]
96,65,295,15,[101]
97,65,360,17,[90]
98,66,118,13,[91]
99,66,285,8,[86]
100,66,451,9,[92]
101,70,292,11,[96]
102,72,260,5,[]
103,73,17,17,[105]
104,74,77,21,[127]
105,75,11,14,[103]
106,76,169,17,[]
107,76,224,16,[124]
108,76,239,12,[]
109,76,279,12,[]
110,77,64,16,[113]
111,77,118,15,[]
112,77,371,13,[]
113,78,67,8,[110]
114,78,449,9,[]
115,79,144,18,[]
116,79,182,18,[123]
117,79,200,16,"[120, 138, 141]"
118,79,317,12,[]
119,80,104,14,[132]
120,80,205,21,"[117, 137, 138, 141]"
121,80,335,16,[]
122,81,156,14,[]
123,81,180,13,[116]
124,81,223,11,[107]
125,81,259,14,[]
126,81,414,19,[]
127,82,82,12,[104]
128,82,127,4,[135]
129,82,393,19,[133]
130,83,365,3,[]
131,83,429,15,[144]
132,84,95,19,[119]
133,84,402,11,[129]
134,85,12,9,[]
135,85,131,15,"[128, 148]"
136,85,298,20,[]
137,86,208,10,"[120, 138]"
138,88,203,17,"[117, 120, 137, 141, 145]"
139,88,216,9,[]
140,88,285,17,[]
141,89,194,16,"[117, 120, 138, 145, 152]"
142,90,73,21,[]
143,91,1,19,[]
144,91,432,10,[131]
145,92,193,19,"[152, 160, 138, 141]"
146,93,56,15,[]
147,93,446,16,[167]
148,94,128,15,[135]
149,95,156,17,"[150, 151, 159]"
150,95,165,22,"[149, 159, 161, 169]"
151,96,149,16,[149]
152,96,188,12,"[145, 160, 141]"
153,96,226,16,[154]
154,97,238,21,"[153, 162]"
155,97,284,8,[164]
156,97,333,7,[165]
157,98,4,21,[175]
158,98,111,14,[]
159,98,160,17,"[149, 150, 169]"
160,98,185,12,"[145, 152]"
161,99,171,13,"[150, 169]"
162,99,236,8,[154]
163,99,299,9,[]
164,101,286,14,[155]
165,102,334,11,[156]
166,104,132,25,[171]
167,104,443,19,"[147, 178]"
168,105,34,14,[]
169,105,163,16,"[150, 159, 161]"
170,106,74,21,[]
171,107,132,24,[166]
172,108,209,10,[180]
173,109,21,17,"[175, 179]"
174,109,394,22,"[177, 184]"
175,110,10,16,"[157, 173, 179]"
176,110,264,9,[]
177,111,405,18,"[174, 184]"
178,111,437,8,[167]
179,112,20,27,"[173, 175, 188]"
180,113,206,24,"[172, 187]"
181,114,173,13,[]
182,116,322,10,[]
183,118,369,12,[]
184,118,404,20,"[174, 177]"
185,120,36,17,"[188, 189]"
186,120,133,9,[]
187,120,210,15,[180]
188,121,28,18,"[179, 185]"
189,122,45,19,[185]
190,122,64,11,[]
191,122,101,15,"[195, 198]"
192,122,352,14,[194]
193,122,425,16,[]
194,124,351,8,"[192, 201]"
195,125,103,13,"[191, 198, 216]"
196,125,192,18,[]
197,126,16,14,"[202, 212, 213]"
198,126,107,7,"[191, 195, 214]"
199,127,278,11,[]
200,129,244,16,[]
201,129,345,15,"[194, 204, 205]"
202,130,15,16,"[197, 212, 213, 218, 225]"
203,130,308,6,[]
204,130,338,16,"[201, 205]"
205,130,341,6,"[201, 204]"
206,131,172,11,[211]
207,131,369,13,[]
208,131,393,18,[209]
209,131,397,16,[208]
210,132,3,10,[220]
211,132,178,11,[206]
212,133,12,13,"[197, 202, 213, 218, 220, 225]"
213,134,17,20,"[197, 202, 212, 218, 225]"
214,134,108,21,"[198, 216, 221, 233]"
215,134,448,18,[]
216,135,95,19,"[195, 214, 221, 223]"
217,135,218,13,[219]
218,136,18,9,"[202, 212, 213, 225]"
219,136,222,4,[217]
