DropletID,CenterX,CenterY,Area,OverlappedDropletsID
1,3,183,7,"[4, 7]"
2,4,123,18,"[17, 24]"
3,4,170,7,[]
4,4,181,11,"[1, 7]"
5,4,410,11,[]
6,5,19,9,[9]
7,6,181,8,"[1, 4]"
8,6,243,19,"[12, 27]"
9,7,16,14,"[6, 20]"
10,7,32,11,[16]
11,7,343,18,[28]
12,8,257,21,[8]
13,9,446,16,[]
14,10,53,32,[22]
15,10,427,15,[]
16,11,37,18,"[10, 22]"
17,11,116,11,"[2, 24]"
18,11,229,12,[29]
19,11,368,12,[23]
20,13,15,15,[9]
21,14,68,23,[31]
22,15,43,19,"[14, 16]"
23,15,358,24,[19]
24,16,127,19,"[2, 17, 33]"
25,17,206,23,[]
26,17,300,11,[]
27,18,238,16,"[8, 30, 37, 41]"
28,18,344,12,[11]
29,19,225,20,"[18, 36, 37, 41]"
30,21,245,9,"[27, 37]"
31,23,61,11,[21]
32,24,10,5,[]
33,24,120,18,"[24, 49]"
34,24,285,17,[]
35,24,400,3,[]
36,25,224,23,"[29, 37, 41]"
37,25,237,19,"[27, 29, 30, 36, 41]"
38,26,3,12,[]
39,26,172,24,"[44, 40]"
40,28,179,22,"[44, 39]"
41,28,230,17,"[27, 29, 36, 37]"
42,29,98,10,[]
43,29,455,17,"[47, 62]"
44,30,177,12,"[39, 40]"
45,30,292,7,[]
46,32,266,15,[]
47,32,464,16,[43]
48,33,41,12,[]
49,34,122,14,[33]
50,34,144,19,[]
51,34,418,8,[]
52,35,65,10,[59]
53,35,189,18,[]
54,35,342,17,[55]
55,35,343,14,"[54, 57]"
56,35,355,12,[57]
57,36,353,16,"[55, 56]"
58,37,7,3,[]
59,37,68,9,[52]
60,38,381,9,[]
61,38,391,16,[]
62,38,447,17,"[63, 43]"
63,39,446,26,[62]
64,40,427,20,[73]
65,41,98,22,[72]
66,43,260,8,[]
67,43,282,10,[]
68,44,10,4,[]
69,44,463,4,[]
70,46,149,7,[75]
71,46,238,12,[]
72,47,92,20,"[65, 91]"
73,47,423,6,[64]
74,48,384,9,[]
75,49,145,14,[70]
76,49,272,7,[]
77,49,403,14,[]
78,49,458,7,[]
79,50,33,9,[]
80,50,452,8,[]
81,51,262,15,[]
82,52,158,22,[84]
83,53,296,18,[]
84,54,167,8,[82]
85,54,427,14,[]
86,55,257,10,[]
87,56,180,14,[]
88,56,333,10,[92]
89,58,278,14,[]
90,60,6,24,"[95, 104]"
91,60,93,23,[72]
92,60,339,14,[88]
93,61,202,14,[100]
94,62,372,11,[]
95,63,6,16,"[90, 104]"
96,63,266,10,[]
97,64,145,11,[101]
98,64,322,15,"[106, 107]"
99,65,112,11,[]
