DropletID,CenterX,CenterY,Area,OverlappedDropletsID
1,3,63,14,"[4, 7]"
2,3,358,7,[]
3,4,397,15,[]
4,5,74,17,"[1, 15]"
5,6,276,15,[8]
6,6,377,20,[]
7,7,60,10,[1]
8,7,268,13,[5]
9,7,351,7,[]
10,8,13,13,[]
11,9,32,7,[]
12,10,314,13,[]
13,12,432,11,[]
14,14,2,10,[]
15,14,76,21,"[4, 22]"
16,14,225,8,[]
17,15,121,19,[]
18,15,135,9,[24]
19,16,450,14,[]
20,17,36,17,[]
21,17,387,13,[]
22,18,67,19,[15]
23,19,195,17,[]
24,21,139,21,[18]
25,23,255,5,[26]
26,24,248,18,[25]
27,24,278,4,[]
28,25,46,13,[31]
29,25,319,25,[]
30,25,343,11,"[32, 35]"
31,26,43,6,[28]
32,27,351,16,[30]
33,29,69,10,[34]
34,29,72,14,[33]
35,29,335,14,[30]
36,33,169,9,[]
37,33,443,12,[]
38,35,8,16,[]
39,35,454,4,[]
40,37,225,20,[45]
41,38,411,21,[]
42,39,311,19,[]
43,40,175,17,[]
44,41,160,18,[]
45,44,231,13,[40]
46,44,322,13,"[54, 52]"
47,45,65,12,[50]
48,46,135,19,[]
49,47,152,13,[]
50,48,63,10,[47]
51,48,280,15,[58]
52,49,323,15,"[54, 46, 59]"
53,50,429,17,[]
54,51,329,18,"[46, 52]"
55,52,112,16,[70]
56,53,5,12,[]
57,53,334,12,[59]
58,54,280,17,[51]
59,54,336,19,"[57, 60, 52]"
60,54,343,17,[59]
61,55,83,18,[69]
62,55,315,12,[]
63,56,175,11,[]
64,56,236,17,[]
65,57,246,10,[]
66,57,266,13,[]
67,58,70,18,[]
68,59,95,11,"[69, 72]"
69,61,88,14,"[61, 68]"
70,61,111,21,[55]
71,62,249,6,[]
72,65,98,12,[68]
73,66,186,6,[78]
74,68,201,16,[]
75,68,405,14,[76]
76,68,410,18,[75]
77,69,154,15,[85]
78,69,184,16,[73]
79,69,214,14,[]
80,69,225,8,[]
81,69,292,16,"[87, 88]"
82,70,82,15,[]
83,71,26,22,[]
84,71,269,22,[]
85,72,150,14,[77]
86,73,168,15,[89]
87,74,285,14,[81]
88,74,296,13,[81]
89,77,175,17,[86]
90,77,333,22,[]
91,80,96,12,[92]
92,80,100,13,[91]
93,82,52,8,[]
94,84,203,13,[]
95,86,401,17,[]
96,89,30,15,[105]
97,89,270,12,[]
98,94,134,18,[]
99,94,240,10,[]
100,95,75,21,[106]
101,95,355,14,[109]
102,96,139,15,[]
103,97,25,12,[105]
104,97,378,8,[]
105,99,29,19,"[103, 96]"
106,100,74,11,[100]
107,101,282,19,"[115, 116]"
108,101,311,21,[]
109,102,364,21,[101]
110,102,401,10,[114]
111,104,97,18,[]
112,104,188,23,[]
113,104,249,12,[]
114,105,403,18,"[110, 119]"
115,106,286,16,[107]
116,108,275,20,[107]
117,108,322,22,[118]
118,108,325,5,[117]
119,108,409,16,"[114, 130]"
120,109,241,7,[]
121,110,465,28,[136]
122,111,296,16,[]
123,113,149,17,[]
124,113,353,10,[]
125,114,46,19,[133]
126,114,108,13,[127]
127,114,112,20,[126]
128,114,310,11,[]
129,114,439,17,[]
130,115,407,11,[119]
131,116,136,18,[146]
132,116,210,12,[]
133,117,35,14,[125]
134,117,199,13,[]
135,118,417,14,[]
136,118,467,16,[121]
137,120,185,14,[139]
138,120,331,11,[141]
139,121,178,9,[137]
140,121,285,22,[]
141,123,332,9,[138]
142,124,64,17,[]
143,125,90,6,[]
144,125,123,25,[146]
145,126,80,14,[]
146,128,133,19,"[131, 144]"
147,129,43,13,[]
148,130,296,19,[]
149,132,351,11,[]
150,133,457,14,[]
151,134,36,10,[]
152,134,190,10,[]
153,134,253,11,[]
154,135,156,32,[159]
155,136,361,9,[]
156,138,111,13,[]
157,138,239,12,[]
158,140,410,15,[163]
159,142,164,12,[154]
160,143,63,13,[]
161,143,143,8,[]
162,145,297,10,[]
163,145,418,15,[158]
164,146,232,13,[]
165,149,404,14,[]
166,150,365,10,[]
167,152,198,12,[]
168,153,40,9,"[173, 177]"
169,153,162,12,[]
170,153,288,15,[]
171,156,100,18,[]
172,157,436,11,[]
173,158,33,20,"[168, 177, 181, 189]"
174,158,174,8,"[182, 186]"
175,158,258,18,[]
176,160,6,12,[]
177,160,39,20,"[168, 173, 181, 189]"
178,160,325,16,[]
179,161,297,11,[]
180,161,459,10,[]
181,162,30,12,"[173, 177]"
182,162,179,18,"[174, 192, 183, 186, 187]"
183,162,182,8,"[182, 186, 187]"
184,162,219,11,[]
185,162,444,4,[]
186,163,174,19,"[174, 182, 183, 187]"
187,163,184,14,"[192, 182, 183, 186]"
188,167,18,11,[]
189,167,38,10,"[173, 177]"
190,169,54,18,[]
191,170,10,12,[]
192,171,184,18,"[182, 187]"
193,172,407,7,"[195, 200]"
194,174,93,10,[]
195,174,400,16,"[193, 200]"
196,175,448,13,[202]
197,176,239,16,[]
198,176,265,22,[]
199,177,337,18,[204]
200,177,408,16,"[193, 195, 208]"
201,178,139,7,[]
202,180,450,19,"[196, 215]"
203,181,27,13,[]
204,181,330,10,[199]
205,183,299,11,[]
206,184,189,18,[]
207,185,67,11,[]
208,185,408,14,"[200, 213]"
209,185,432,13,[215]
210,187,208,9,[222]
211,187,366,10,[]
212,188,276,5,"[214, 218]"
213,188,409,7,[208]
214,189,270,18,"[212, 218, 224]"
215,189,441,21,"[202, 209]"
216,191,0,8,[]
217,191,139,13,[]
218,192,280,18,"[212, 214]"
219,192,302,14,"[220, 229]"
220,192,307,9,[219]
221,193,107,14,[]
222,193,204,17,"[210, 227]"
223,194,252,15,[226]
224,194,262,11,"[214, 226, 228]"
225,195,81,13,[]
226,197,256,12,"[223, 224, 228]"
227,198,211,13,[222]
228,199,261,9,"[224, 226]"
229,202,301,20,"[219, 233]"
230,204,180,14,[]
231,205,245,17,[]
232,205,414,10,[243]
233,206,300,17,[229]
234,207,254,7,[]
235,207,316,18,[]
236,208,106,17,[]
237,208,336,9,[]
238,208,398,23,[243]
239,209,152,14,[247]
240,209,197,1,[]
241,209,268,21,[249]
242,209,437,21,[]
243,210,408,12,"[232, 238]"
244,211,24,12,[]
245,211,94,22,[250]
246,212,170,19,[]
247,213,151,10,[239]
248,213,227,20,[]
249,213,274,15,[241]
250,214,94,17,[245]
251,214,282,4,[]
252,219,135,9,[]
253,221,6,24,[258]
254,222,332,15,[]
255,224,117,15,[]
256,224,452,16,[262]
257,225,198,11,[]
258,227,16,15,"[253, 267]"
259,228,394,7,[]
260,229,401,8,[]
261,230,226,7,[]
262,230,450,8,[256]
263,232,82,10,[]
264,232,298,11,[]
265,233,33,10,[267]
266,233,284,13,[270]
267,235,25,19,"[258, 265]"
268,235,337,5,[]
269,236,294,4,[]
270,238,280,13,[266]
271,241,435,16,"[283, 287]"
272,242,44,16,[]
273,244,270,17,[]
274,244,414,9,[276]
275,245,201,20,[281]
276,245,406,21,[274]
277,246,31,8,[]
278,246,304,11,[]
279,247,180,20,[281]
280,248,336,16,"[285, 289]"
281,249,193,20,"[275, 279, 292]"
282,250,315,13,[]
283,250,439,21,"[271, 287]"
284,251,17,17,[]
285,251,331,17,"[280, 289]"
286,251,360,18,[294]
287,251,438,14,"[271, 283]"
288,253,382,22,[290]
289,254,341,15,"[280, 285, 297]"
290,254,374,15,[288]
291,257,171,12,[]
292,258,191,15,[281]
293,258,212,7,[]
294,258,358,26,[286]
295,259,153,6,[]
296,261,103,15,[]
297,262,342,14,"[289, 298, 303]"
298,264,349,14,[297]
299,268,270,5,[]
300,271,44,17,[]
301,271,111,10,[]
302,271,216,10,[]
303,272,337,18,"[297, 311]"
304,273,9,12,[]
305,274,32,17,[]
306,274,127,11,[]
307,274,268,14,[]
308,275,367,19,[]
309,276,196,21,[]
310,279,239,14,"[323, 324]"
311,279,335,18,"[303, 325]"
312,280,171,11,[]
313,281,227,9,[]
314,281,232,6,[]
315,281,255,16,"[317, 319]"
316,283,411,11,[]
317,284,258,7,"[315, 319]"
318,285,140,8,[]
319,285,260,18,"[315, 317]"
320,286,67,19,[326]
321,286,109,25,[322]
322,288,113,13,[321]
323,288,241,25,"[310, 324]"
324,288,242,13,"[310, 323]"
325,289,336,16,"[311, 329, 336]"
326,290,65,10,[320]
327,290,232,10,[]
328,292,288,15,[]
329,292,346,26,"[325, 336, 339]"
330,292,465,8,[335]
331,293,76,4,[]
332,294,384,10,[337]
333,294,427,10,[340]
334,294,445,13,[]
335,294,464,14,[330]
336,297,339,21,"[325, 329, 339]"
337,298,389,9,[332]
338,298,418,5,[]
339,300,348,13,"[329, 336]"
340,300,424,13,[333]
341,301,180,10,[]
342,301,400,10,[353]
343,304,2,11,[]
344,304,22,13,[]
345,304,103,11,[355]
346,304,128,12,[349]
347,305,70,18,[]
348,305,209,8,[]
349,307,123,21,"[346, 363]"
350,309,202,10,[]
351,309,254,23,[359]
352,309,290,8,[]
353,309,403,19,[342]
354,310,41,18,[365]
355,310,104,12,[345]
356,310,297,11,[]
357,312,59,11,[]
358,312,274,12,[370]
359,314,258,12,[351]
360,314,338,23,[366]
361,314,450,10,[]
362,315,353,18,[366]
363,317,117,15,"[349, 380]"
364,319,217,16,[]
365,320,43,13,"[354, 372, 379]"
366,320,348,18,"[360, 362]"
367,320,466,16,[388]
368,321,99,17,[369]
369,321,101,7,[368]
370,321,269,21,[358]
371,322,20,3,[]
372,322,37,14,"[365, 379, 385]"
373,322,57,5,[]
374,322,201,6,[]
375,323,394,6,[]
376,324,192,10,[389]
377,324,224,9,[381]
378,324,385,25,[]
379,325,37,12,"[365, 372, 385]"
380,325,116,11,[363]
381,325,227,18,[377]
382,325,305,10,[]
383,325,414,20,[]
384,328,284,12,[]
385,329,38,13,"[372, 379]"
386,329,359,6,[]
387,330,65,12,[]
388,330,461,19,[367]
389,331,195,19,[376]
390,333,393,12,[]
391,334,54,10,[]
392,334,172,11,[]
393,335,108,22,[395]
394,335,241,8,[]
395,336,114,4,[393]
396,336,146,22,[]
397,337,375,10,[]
398,343,198,20,"[406, 409]"
399,344,402,8,[403]
400,345,85,12,[]
401,345,274,18,[]
402,345,307,12,[]
403,345,408,15,"[399, 410]"
404,346,330,19,[]
405,346,353,21,[]
406,347,196,10,"[398, 409]"
407,347,455,16,[]
408,350,94,17,[]
409,351,198,11,"[398, 406]"
410,351,405,12,[403]
411,352,123,14,[]
412,356,83,12,[419]
413,357,292,4,[]
414,357,397,13,[]
415,358,29,12,[]
416,359,358,5,[]
417,361,163,16,[]
418,364,71,18,"[419, 429]"
419,364,75,19,"[412, 418, 429]"
420,365,430,20,[426]
421,366,210,5,[]
422,367,175,15,[]
423,367,219,24,[]
424,368,48,17,[]
425,368,143,10,[]
426,369,436,7,[420]
427,370,270,19,[]
428,370,368,17,[431]
429,371,64,16,"[418, 419, 434]"
430,371,322,19,[]
431,371,360,20,[428]
432,372,298,10,[]
433,372,401,4,[]
434,373,68,10,[429]
435,373,253,16,[438]
436,377,340,14,[447]
437,378,441,15,[445]
438,379,249,14,[435]
439,381,118,10,[]
440,381,295,14,"[441, 449]"
441,382,295,14,"[440, 449]"
442,382,333,6,[]
443,383,75,10,[444]
444,383,76,19,[443]
445,383,438,12,"[437, 453]"
446,384,16,17,[]
447,384,343,10,[436]
448,384,415,10,[]
449,386,299,19,"[440, 441]"
450,387,390,16,"[455, 460]"
451,388,212,15,[]
452,388,254,9,[]
453,388,442,12,"[445, 457]"
454,389,55,20,[465]
455,390,387,17,"[450, 460, 474]"
456,391,128,10,[]
457,391,443,13,"[453, 463]"
458,392,164,18,[466]
459,392,366,7,[]
460,393,381,15,"[450, 455, 474]"
461,395,403,20,[]
462,396,233,15,[473]
463,396,436,17,[457]
464,397,454,7,[]
465,398,53,15,"[454, 471]"
466,399,174,16,[458]
467,399,361,13,[]
468,400,104,9,[]
469,400,194,7,[]
470,401,441,4,[]
471,402,57,9,[465]
472,402,92,15,[475]
473,402,228,10,"[462, 476]"
474,402,386,18,"[455, 460]"
475,403,85,19,[472]
476,403,222,24,[473]
477,404,65,10,[]
478,405,249,9,[]
479,408,111,9,[]
480,408,157,14,"[489, 492]"
481,408,467,15,"[484, 486]"
482,409,26,16,[]
483,409,204,5,[]
484,409,459,11,"[481, 486]"
485,410,181,19,[]
486,410,455,21,"[481, 484]"
487,411,141,12,[]
488,412,323,19,[]
489,413,161,18,"[480, 492, 502]"
490,414,133,9,[]
491,414,333,7,[]
492,415,167,20,"[480, 489, 502]"
493,415,268,17,[]
494,416,109,12,[]
495,416,353,28,[499]
496,419,10,6,[]
497,419,300,8,[]
498,420,34,26,[]
499,420,342,9,[495]
500,421,78,17,[507]
501,424,139,24,[]
502,425,163,13,"[489, 492, 510]"
503,426,186,11,[]
504,426,247,10,[]
505,426,445,7,[]
506,427,267,15,"[508, 511]"
507,428,83,18,[500]
508,430,267,21,"[506, 511, 517]"
509,431,109,10,[]
510,431,157,11,"[502, 520]"
511,432,268,13,"[506, 508, 517]"
512,434,458,11,[518]
513,435,308,18,[522]
514,435,361,6,[]
515,436,42,12,[]
516,437,232,9,[]
517,438,276,16,"[508, 511]"
518,438,467,20,[512]
519,439,148,14,[520]
520,439,157,12,"[510, 519, 528]"
521,439,247,13,[525]
522,439,307,17,[513]
523,440,1,8,[]
524,441,369,3,[]
525,442,251,21,"[521, 534]"
526,443,29,19,[532]
527,443,193,9,[]
528,444,162,16,"[520, 535]"
529,444,427,13,[]
530,445,222,2,[]
531,446,372,9,[]
532,447,38,17,[526]
533,449,198,12,[]
534,449,249,24,[525]
535,450,162,8,[528]
536,453,7,11,[]
537,454,85,13,[539]
538,454,348,9,[540]
539,456,86,17,[537]
540,457,352,9,[538]
541,459,220,13,[]
542,460,24,13,[]
543,460,414,21,[544]
544,460,425,22,[543]
545,460,464,19,[]
546,463,367,13,[547]
547,467,364,9,[546]
548,468,1,2,[]
549,468,188,26,[551]
550,469,69,18,[]
551,470,193,6,[549]
552,470,203,20,[]
553,472,347,17,[559]
554,475,45,10,[]
555,475,136,20,"[558, 570]"
556,475,403,14,[]
557,476,299,7,[]
558,477,137,8,"[555, 570]"
559,477,350,18,"[553, 588]"
560,478,149,13,[]
561,478,250,11,[565]
562,478,310,14,[]
563,478,374,10,[]
564,479,82,14,[576]
565,479,255,17,"[561, 581, 584]"
566,480,178,18,"[577, 583]"
567,480,213,18,[580]
568,480,418,12,[571]
569,481,56,10,[573]
570,481,135,17,"[555, 558]"
571,481,418,21,[568]
572,481,456,13,[]
573,482,60,12,[569]
574,482,325,18,[]
