                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99376,                 1.0513,                0.57716,                0.83737,                 0.9851,                0.82129,                0.88085,                0.68318,                0.91354,                0.75903,                0.82011,                0.42852,                0.85293,                 1.0053,                0.45494,                0.81079,             0.00066549,             0.00066549,             0.00066549
                      2,                 0.8667,                0.82031,                0.43053,                0.80748,                0.99503,                0.82765,                0.88961,                0.76161,                0.93496,                0.77763,                 0.8469,                0.51439,                 0.6121,                 0.6809,                0.37258,                0.79313,              0.0013058,              0.0013058,              0.0013058
                      3,                0.85468,                 0.7894,                0.42005,                0.80382,                0.99471,                0.82717,                0.89737,                0.79299,                0.93509,                0.77654,                0.85855,                0.54524,                0.52004,                0.68566,                0.35497,                0.78916,              0.0019197,              0.0019197,              0.0019197
                      4,                0.84864,                0.79915,                0.41905,                0.80156,                 0.9955,                0.82762,                0.89085,                0.76405,                0.92724,                0.76853,                0.84087,                0.48148,                0.61856,                0.67432,                0.36643,                0.79512,              0.0018812,              0.0018812,              0.0018812
                      5,                0.82193,                0.76408,                0.40324,                0.79802,                0.99479,                0.82738,                 0.8945,                0.78095,                0.93844,                0.77932,                0.84985,                0.53084,                0.53168,                0.66379,                0.36426,                0.78619,              0.0018416,              0.0018416,              0.0018416
                      6,                0.79992,                 0.7362,                0.40117,                0.79722,                0.99556,                0.82685,                0.90072,                0.77431,                   0.92,                0.76386,                0.84201,                0.46693,                0.57889,                0.68249,                0.35046,                0.78873,               0.001802,               0.001802,               0.001802
                      7,                0.78149,                0.71969,                0.38987,                0.79384,                0.99566,                0.82732,                0.89413,                0.75344,                0.92074,                0.76369,                0.83824,                0.46572,                0.61394,                0.71444,                0.36216,                0.78941,              0.0017624,              0.0017624,              0.0017624
                      8,                0.77205,                0.70973,                0.38659,                0.79388,                0.99543,                0.82765,                 0.8978,                0.80395,                0.92538,                0.76834,                0.84814,                0.48256,                0.48978,                0.59413,                0.32121,                0.78571,              0.0017228,              0.0017228,              0.0017228
                      9,                0.76218,                0.70719,                0.38122,                0.79253,                0.99538,                0.82867,                0.90576,                0.78087,                0.92662,                0.77071,                0.86191,                0.52352,                0.57978,                0.73708,                0.35726,                0.78967,              0.0016832,              0.0016832,              0.0016832
                     10,                0.76287,                0.71453,                0.37986,                0.79237,                0.99593,                0.82888,                0.90853,                0.80212,                0.92681,                 0.7703,                0.86059,                0.49755,                0.52838,                0.62255,                0.33489,                0.78635,              0.0016436,              0.0016436,              0.0016436
                     11,                0.74946,                0.69639,                0.37077,                0.79036,                0.99507,                0.82778,                0.90561,                0.75842,                0.92548,                0.76919,                0.85527,                 0.4892,                0.65673,                0.63296,                0.35917,                0.79207,               0.001604,               0.001604,               0.001604
                     12,                 0.7448,                0.69162,                0.36857,                0.79084,                0.99543,                0.82835,                0.90994,                0.75038,                 0.9165,                0.76224,                0.85074,                0.48064,                0.69207,                0.69019,                0.36465,                0.79296,              0.0015644,              0.0015644,              0.0015644
                     13,                0.73269,                0.68862,                0.37114,                0.78908,                0.99571,                0.82871,                 0.9105,                 0.7953,                 0.9232,                0.76733,                0.85786,                0.49593,                0.53926,                0.70551,                 0.3454,                 0.7848,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71857,                0.69033,                0.36703,                0.78805,                 0.9955,                0.82871,                0.90928,                0.80963,                0.93605,                 0.7781,                  0.856,                0.51583,                0.50374,                0.58789,                0.33661,                0.78206,              0.0014852,              0.0014852,              0.0014852
                     15,                0.72631,                0.69046,                0.36209,                0.78911,                0.99582,                0.82831,                0.90805,                0.77554,                0.92887,                0.77197,                0.85859,                0.50358,                0.62195,                0.64226,                 0.3518,                0.78618,              0.0014456,              0.0014456,              0.0014456
                     16,                0.72252,                 0.6767,                0.36054,                0.78831,                0.99592,                0.82842,                0.90992,                0.82538,                0.93316,                0.77569,                0.86655,                0.53492,                 0.4671,                0.63427,                0.33053,                0.78166,               0.001406,               0.001406,               0.001406
