                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48284,                0.82471,                 1.1161,                0.94538,                0.05239,                0.53704,                0.43731,                  0.308,                0.05239,                0.53704,                0.43731,                0.36327,                0.65971,                 1.0519,                 5.3518,                 1.1994,             0.00065766,             0.00065766,             0.00065766
                      2,                 0.5252,                0.32374,                0.55338,                0.94351,                0.86877,                0.85827,                 0.9252,                 0.6416,                0.84988,                0.85185,                0.90095,                0.63065,                0.87686,                 4.8249,                 1.0631,                 1.3314,              0.0012981,              0.0012981,              0.0012981
                      3,                 0.5468,                0.30059,                0.52614,                0.95426,                0.92834,                0.95963,                0.98467,                0.78714,                 0.9416,                0.94444,                0.97888,                0.86191,                0.82358,                 1.0381,                0.70569,                 1.2798,              0.0019121,              0.0019121,              0.0019121
                      4,                0.59172,                0.28436,                 0.5239,                0.96629,                0.92939,                0.97511,                 0.9872,                0.82081,                0.92939,                0.97511,                 0.9872,                 0.9395,                0.65314,                0.45542,                0.67166,                 1.0859,              0.0018812,              0.0018812,              0.0018812
                      5,                0.52999,                0.25101,                 0.4581,                0.94194,                0.99546,                      1,                  0.995,                0.88298,                0.99546,                      1,                  0.995,                0.98225,                 0.5565,                0.27016,                0.43388,                 0.9629,              0.0018416,              0.0018416,              0.0018416
                      6,                0.47499,                0.26254,                0.41135,                0.92079,                0.96173,                0.93071,                0.98936,                 0.8497,                0.96173,                0.93071,                0.98936,                0.96198,                0.55272,                0.18648,                0.49675,                 1.0312,               0.001802,               0.001802,               0.001802
                      7,                0.45873,                0.29173,                0.41219,                0.90997,                0.90331,                 0.8651,                0.95543,                0.85194,                0.90331,                 0.8651,                0.95543,                0.93652,                0.50251,                0.27532,                0.54003,                0.98112,              0.0017624,              0.0017624,              0.0017624
                      8,                0.41635,                 0.2525,                0.37521,                0.89263,                0.97468,                      1,                  0.995,                0.93314,                0.97468,                      1,                  0.995,                0.99032,                0.40385,                0.16827,                 0.3492,                0.90632,              0.0017228,              0.0017228,              0.0017228
                      9,                0.38761,                 0.2271,                0.34284,                 0.8911,                0.99546,                      1,                  0.995,                0.92856,                0.99546,                      1,                  0.995,                0.99298,                 0.3894,                0.16928,                 0.3449,                0.88883,              0.0016832,              0.0016832,              0.0016832
                     10,                0.40014,                0.21721,                0.34628,                0.89566,                 0.9987,                      1,                  0.995,                0.90886,                 0.9987,                      1,                  0.995,                0.99417,                0.35146,                0.15161,                0.30936,                0.87279,              0.0016436,              0.0016436,              0.0016436
