Wall time,Step,Value
1725636832.7052243,0,0.7058457136154175
1725636908.2982488,1,0.6477669477462769
1725636966.6686375,2,0.5044373273849487
1725637024.9034064,3,0.481746107339859
1725637083.8843627,4,0.5006812810897827
1725637142.9924443,5,0.5311077833175659
1725637201.3803813,6,0.47767263650894165
1725637260.4076412,7,0.49497881531715393
1725637320.5368369,8,0.48060789704322815
1725637381.9285111,9,0.497408926486969
1725637440.894634,10,0.49952706694602966
1725637502.2266965,11,0.4613404870033264
1725637560.8795226,12,0.4686833322048187
1725637619.10632,13,0.4759204387664795
1725637679.4812632,14,0.4814315438270569
1725637738.2245975,15,0.4695708155632019
1725637796.7978282,16,0.42759189009666443
1725637857.3622174,17,0.45829010009765625
1725637916.7922332,18,0.4663717746734619
1725637975.1122222,19,0.4697864055633545
1725638033.7135038,20,0.46258544921875
1725638091.9631567,21,0.44778361916542053
1725638150.7152681,22,0.4556802809238434
1725638209.3004346,23,0.4520936608314514
1725638268.1149955,24,0.441891610622406
1725638326.485432,25,0.44164538383483887
1725638385.2872663,26,0.4393537640571594
1725638444.6162322,27,0.44447025656700134
1725638502.9652789,28,0.439708948135376
1725638561.5676632,29,0.4579753875732422
1725638620.4038346,30,0.43798381090164185
1725638678.9242883,31,0.4551945626735687
1725638737.6679873,32,0.4295920729637146
1725638795.9299989,33,0.41945376992225647
1725638854.7116258,34,0.4145173132419586
1725638913.0117228,35,0.44179511070251465
1725638971.4715633,36,0.4494171142578125
1725639030.5369647,37,0.44824036955833435
1725639090.8217037,38,0.447456419467926
1725639149.1421466,39,0.44887542724609375
1725639208.188153,40,0.4493750035762787
1725639266.5680559,41,0.44880542159080505
1725639325.6737022,42,0.44697242975234985
1725639384.1369445,43,0.45842212438583374
1725639443.2508028,44,0.4387686848640442
1725639502.0862894,45,0.42014050483703613
1725639560.4745533,46,0.4504165053367615
1725639619.247932,47,0.44845086336135864
1725639677.5896873,48,0.46869006752967834
1725639736.407386,49,0.43654686212539673
1725639796.576812,50,0.43583646416664124
1725639854.9678948,51,0.437330424785614
1725639913.3599265,52,0.42933741211891174
1725639972.1544871,53,0.4373978078365326
1725640031.3196144,54,0.4352589547634125
1725640089.7005184,55,0.4284287095069885
1725640148.2820926,56,0.443226158618927
1725640207.2045696,57,0.46613702178001404
1725640265.6575992,58,0.42996281385421753
1725640323.8588655,59,0.442646324634552
1725640383.21663,60,0.42363420128822327
1725640441.8073268,61,0.44607114791870117
1725640500.192912,62,0.45271578431129456
1725640559.1283505,63,0.4467735290527344
1725640617.9057946,64,0.4456552565097809
1725640676.2971666,65,0.4518490433692932
1725640734.8995254,66,0.4282166361808777
1725640793.7149634,67,0.4377114772796631
1725640852.052333,68,0.4377880096435547
1725640910.4322133,69,0.4260614812374115
1725640969.2315388,70,0.43937134742736816
1725641027.6253521,71,0.43548837304115295
1725641085.972147,72,0.4433613717556
1725641144.799971,73,0.4338403642177582
1725641204.737543,74,0.4492284655570984
1725641263.3194053,75,0.40851306915283203
1725641321.5399806,76,0.4200960099697113
1725641380.6347027,77,0.4387351870536804
1725641439.0149558,78,0.4422966539859772
1725641497.4652615,79,0.4349639415740967
1725641556.420922,80,0.4172517657279968
1725641614.8109798,81,0.4453902244567871
1725641673.2260659,82,0.4473823606967926
1725641731.9336333,83,0.434105783700943
1725641790.6695213,84,0.434943288564682
1725641849.1541622,85,0.4047981798648834
1725641907.5127833,86,0.42198246717453003
1725641966.3064673,87,0.41245514154434204
1725642024.696733,88,0.4200027883052826
1725642082.988891,89,0.4129118025302887
1725642142.6588342,90,0.44501763582229614
1725642201.2401087,91,0.4296185374259949
1725642259.810876,92,0.41099414229393005
1725642319.622582,93,0.41322988271713257
1725642379.3225398,94,0.4029662609100342
1725642438.164725,95,0.4230191111564636
1725642498.1274054,96,0.42512673139572144
1725642556.7204447,97,0.4299391210079193
1725642615.2894142,98,0.4247264862060547
1725642673.681472,99,0.41990670561790466
