DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID
1,True,1284,178,14,[]
2,True,1073,53,16,[]
3,True,197,450,16,[]
4,True,147,357,26,[]
5,True,1732,572,26,[126]
6,True,513,342,10,[]
7,True,456,588,4,[]
8,True,438,189,10,[]
9,True,1431,220,16,"[301, 359, 360]"
10,True,1470,388,10,[284]
11,True,814,21,10,[]
12,True,430,332,6,[]
13,True,578,151,10,[]
14,True,160,522,14,[]
15,True,133,330,8,[]
16,True,154,429,14,[]
17,True,905,73,8,[]
18,True,1317,374,20,[]
19,True,474,573,4,[152]
20,True,130,44,16,[]
21,True,480,244,18,[]
22,True,811,167,22,[]
23,True,1052,326,16,"[68, 172]"
24,True,1234,196,10,[]
25,True,1399,450,12,[]
26,True,326,305,18,[]
27,True,47,209,12,[]
28,True,44,160,6,[]
29,True,646,149,16,[]
30,True,25,265,18,[260]
31,True,446,575,28,[]
32,True,1308,251,4,[]
33,True,1646,467,10,[]
34,True,998,14,8,[]
35,True,842,354,10,[]
36,True,1562,540,20,[]
37,True,302,431,28,[]
38,True,625,416,2,[]
39,True,555,501,20,[]
40,True,874,284,12,[]
41,True,1247,252,14,[182]
42,True,251,214,6,[]
43,True,1411,320,12,[]
44,True,1613,259,22,[]
45,True,320,163,6,[]
46,True,635,74,14,[]
47,True,359,459,8,[]
48,True,1372,148,4,[]
49,True,196,575,22,[]
50,True,1031,457,16,[383]
51,True,69,266,22,[]
52,True,1304,496,16,[]
53,True,1670,533,8,[]
54,True,330,474,26,[]
55,True,869,79,8,[]
56,True,504,105,10,[]
57,True,1230,480,14,[]
58,True,1529,304,12,[]
59,True,479,46,8,[]
60,True,1370,560,8,[]
61,True,1368,319,24,[]
62,True,1385,560,8,[]
63,True,1040,178,8,[325]
64,True,1668,582,10,[]
65,True,1726,176,4,[]
66,True,1612,61,16,[]
67,True,1177,166,10,[]
68,True,1052,331,8,[23]
69,True,748,126,12,[]
70,True,1110,266,14,[]
71,True,1332,122,14,[]
72,True,55,185,14,[86]
73,True,833,497,20,[]
74,True,816,218,10,[]
75,True,985,76,18,[]
76,True,739,346,26,[]
77,True,1486,482,28,[254]
78,True,1653,42,12,[]
79,True,242,79,18,[]
80,True,315,37,6,[]
81,True,304,581,20,[]
82,True,856,432,6,[]
83,True,1161,176,8,[]
84,True,497,387,10,[]
85,True,433,30,28,[]
86,True,55,184,10,[72]
87,True,491,160,26,[]
88,True,311,482,12,[]
89,True,404,266,18,[]
90,True,1403,227,16,[]
91,True,921,373,14,[]
92,True,1441,238,14,[]
93,True,1139,110,12,[]
94,True,1518,529,6,[]
95,True,202,514,10,[]
96,True,99,226,20,[]
97,True,45,175,12,[]
98,True,127,226,10,[]
99,True,1008,542,24,[]
100,True,926,481,22,[]
101,True,1336,575,2,[]
102,True,1704,435,24,[]
103,True,1385,81,14,[]
104,True,1367,182,22,[236]
105,True,711,109,12,[]
106,True,315,354,6,[]
107,True,1399,127,4,[]
108,True,422,13,12,[]
109,True,351,498,10,[]
110,True,643,341,8,[]
111,True,1712,380,14,[]
112,True,270,169,10,[]
113,True,659,550,18,[]
114,True,1198,287,20,[]
115,True,104,180,14,[]
116,True,1057,179,8,[]
117,True,1022,75,14,[]
118,True,1605,115,20,[]
119,True,699,435,8,[]
120,True,575,436,14,[]
121,True,1309,178,12,[]
122,True,17,572,32,[]
123,True,308,335,6,[]
124,True,659,219,10,[]
125,True,146,231,18,[]
126,True,1723,579,26,[5]
127,True,575,71,16,[242]
128,True,430,216,2,[]
129,True,950,25,8,[]
130,True,1231,234,10,[]
131,True,674,479,12,[]
132,True,1234,561,20,[185]
133,True,501,68,20,[229]
134,True,894,33,26,[]
135,True,489,347,8,[]
136,True,1605,407,16,[]
137,True,1247,449,2,[]
138,True,319,9,16,[]
139,True,1696,243,14,[390]
140,True,244,111,18,[]
141,True,1532,518,12,[]
142,True,737,424,12,[]
143,True,1690,555,8,[198]
144,True,1431,379,10,[]
145,True,1276,469,24,[]
146,True,275,493,4,[]
147,True,1685,130,14,[]
148,True,800,510,14,"[173, 287]"
149,True,1732,499,8,[]
150,True,381,585,10,[]
151,True,506,263,22,[]
152,True,478,575,8,[19]
153,True,1266,299,14,[]
154,True,1525,17,22,[]
155,True,1257,436,14,[]
156,True,550,558,4,[]
157,True,1467,464,12,[]
158,True,1458,417,16,[]
159,True,919,302,8,[167]
160,True,226,399,14,[]
161,True,1272,414,8,[]
162,True,815,510,10,[287]
163,True,210,154,18,[]
164,True,1718,321,2,[]
165,True,1233,134,6,[]
166,True,889,527,8,[]
167,True,905,299,26,"[159, 321]"
168,True,299,173,18,[406]
169,True,1715,528,18,[387]
170,True,594,426,14,[]
171,True,1093,262,10,[]
172,True,1038,310,28,[23]
173,True,783,508,22,"[148, 332]"
174,True,793,333,6,[]
175,True,1036,579,10,[]
176,True,1246,203,8,[]
177,True,53,475,16,[]
178,True,161,390,6,[401]
179,True,1091,312,4,[]
180,True,1107,342,16,[]
181,True,390,363,20,[]
182,True,1241,249,8,[41]
183,True,172,464,4,[]
184,True,447,94,4,[]
185,True,1233,554,16,[132]
186,True,1288,394,12,[247]
187,True,1286,501,6,[]
188,True,1054,500,24,[]
189,True,1601,90,16,[]
190,True,1280,532,24,[]
191,True,676,533,6,[]
192,True,210,61,12,[]
193,True,1365,346,16,[289]
194,True,296,342,14,[]
195,True,767,508,4,[]
196,True,1595,31,12,[]
197,True,1458,60,10,[240]
198,True,1683,554,10,[143]
199,True,130,581,24,[]
200,True,667,53,4,[]
201,True,954,86,16,[]
202,True,1706,30,22,[]
203,True,1567,238,12,[]
204,True,1624,116,14,[]
205,True,485,204,18,[]
206,True,955,378,6,[226]
207,True,195,364,6,[]
208,True,223,229,16,[]
209,True,1052,473,18,[]
210,True,1438,460,20,[]
211,True,1355,535,8,[]
212,True,453,373,8,[]
213,True,933,102,6,[]
214,True,996,576,6,[]
215,True,247,492,8,[]
216,True,145,414,10,[]
217,True,1081,353,22,[]
218,True,672,40,20,[]
219,True,1193,385,10,[]
220,True,1264,265,4,[]
221,True,1171,523,8,[]
222,True,590,293,10,[]
223,True,22,442,12,[]
224,True,863,375,6,[]
225,True,1429,171,14,[]
226,True,955,359,34,[206]
227,True,974,469,8,[]
228,True,780,310,22,[]
229,True,490,72,12,[133]
230,True,451,53,12,[]
231,True,1447,441,20,[]
