DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID
1,True,1403,495,16,"[71, 74, 146, 562]"
2,True,838,395,12,[403]
3,True,1650,460,22,[]
4,True,1122,394,6,[]
5,True,933,264,24,[]
6,True,718,52,12,[410]
7,True,939,386,6,[]
8,True,1662,206,6,[]
9,True,1062,246,20,[334]
10,True,365,324,24,[480]
11,True,69,266,4,[472]
12,True,744,43,6,[]
13,True,1472,515,8,[]
14,True,485,123,14,[402]
15,True,904,568,12,[211]
16,True,422,568,8,[92]
17,True,1707,284,12,"[115, 150]"
18,True,1142,516,16,[445]
19,True,1297,218,34,"[462, 503]"
20,True,1250,391,16,[]
21,True,493,87,10,[]
22,True,535,574,12,[]
23,True,298,538,8,[]
24,True,1331,38,26,[110]
25,True,742,415,22,[]
26,True,1437,565,8,[]
27,True,1042,493,4,[285]
28,True,505,370,16,[93]
29,True,1534,195,6,[542]
30,True,951,361,8,[]
31,True,1669,498,12,[]
32,True,170,322,18,[]
33,True,1621,142,26,[]
34,True,204,99,12,[]
35,True,182,576,6,[]
36,True,1514,78,6,[]
37,True,680,550,12,[482]
38,True,1655,25,18,[]
39,True,912,110,12,[]
40,True,698,529,12,[]
41,True,721,469,12,[]
42,True,444,274,4,[]
43,True,1578,89,6,[]
44,True,490,58,14,[]
45,True,349,48,2,[]
46,True,1540,517,6,[]
47,True,1058,115,20,[]
48,True,1420,216,6,[]
49,True,1626,192,18,[]
50,True,299,218,10,[152]
51,True,1699,267,12,[115]
52,True,1576,272,8,[]
53,True,1413,63,6,[]
54,True,1048,388,20,[]
55,True,1007,141,18,"[299, 549]"
56,True,173,372,6,[]
57,True,1716,227,8,[]
58,True,151,271,6,[]
59,True,1695,43,12,[447]
60,True,224,369,16,[]
61,True,719,573,18,[]
62,True,1599,447,24,[]
63,True,1025,325,10,[]
64,True,98,501,8,[]
65,True,652,540,8,[]
66,True,1650,137,12,[]
67,True,1462,414,6,[]
68,True,1366,441,10,[]
69,True,462,479,24,[435]
70,True,1661,399,16,"[199, 336]"
71,True,1398,508,14,[1]
72,True,623,371,6,[]
73,True,1394,252,10,[]
