DropletID,isElipse,CenterX,CenterY,Diameter,OverlappedDropletsID
1,True,1316,330,12,[]
2,True,963,306,20,[]
3,True,1603,125,22,[57]
4,True,778,359,4,[]
5,True,1268,260,12,[]
6,True,1324,54,18,"[35, 521]"
7,True,219,161,8,[]
8,True,818,540,20,[588]
9,True,203,486,10,[]
10,True,728,419,4,[]
11,True,934,351,12,[386]
12,True,1354,387,8,[]
13,True,1628,468,24,[269]
14,True,496,55,20,[]
15,True,1735,426,6,[]
16,True,794,214,10,[]
17,True,800,487,26,[382]
18,True,1262,160,16,[520]
19,True,1603,210,8,[]
20,True,1217,424,14,[]
21,True,293,397,6,[]
22,True,607,248,6,[416]
23,True,699,264,8,[]
24,True,1369,566,8,[130]
25,True,1033,349,12,[]
26,True,1080,339,14,[]
27,True,1130,438,8,[]
28,True,1329,241,16,[541]
29,True,117,165,16,[]
30,True,238,129,6,[]
31,True,431,171,8,[]
32,True,1029,125,10,[]
33,True,654,275,18,[478]
34,True,1123,451,10,[]
35,True,1329,39,18,[6]
36,True,627,280,14,[]
37,True,1271,89,10,[]
38,True,189,201,6,[]
39,True,1634,518,12,[606]
40,True,914,404,2,[]
41,True,1304,85,4,[650]
42,True,85,395,20,[]
43,True,1617,52,10,[]
44,True,513,97,18,[384]
45,True,1220,442,8,[287]
46,True,1690,84,20,[]
47,True,1251,559,10,"[99, 420]"
48,True,915,318,18,[]
49,True,1178,461,38,[]
50,True,841,525,14,[]
51,True,876,576,14,[]
52,True,1692,365,24,[]
53,True,799,457,20,[]
54,True,556,423,18,[]
55,True,961,162,6,[459]
56,True,1642,316,20,[]
57,True,1608,130,18,[3]
58,True,1719,46,8,[336]
59,True,32,23,10,[163]
60,True,1061,115,4,"[506, 621]"
61,True,362,259,18,[]
62,True,1484,582,16,[]
63,True,1399,200,10,[]
64,True,581,108,18,[]
65,True,987,558,6,[]
66,True,1534,332,8,[]
67,True,1114,528,28,[96]
68,True,1019,519,8,[]
69,True,130,376,8,[]
70,True,1716,353,8,[]
71,True,224,469,16,[]
72,True,1352,513,34,"[319, 354]"
73,True,709,347,10,"[375, 435]"
74,True,1110,499,14,[]
75,True,193,20,8,[]
76,True,1236,315,4,[485]
77,True,73,108,18,"[170, 582]"
78,True,392,101,4,[]
79,True,296,561,12,[]
80,True,777,90,12,[445]
81,True,454,435,4,[152]
82,True,593,475,26,[312]
83,True,787,517,10,[]
84,True,1721,248,16,"[89, 235, 632]"
85,True,332,441,6,[]
86,True,868,516,10,[]
87,True,80,92,4,[]
88,True,1546,16,14,[]
89,True,1729,265,26,[84]
90,True,132,42,10,[]
91,True,1318,140,14,[618]
92,True,754,251,8,[]
93,True,1723,19,12,[]
94,True,1451,296,18,[]
95,True,120,346,22,[]
96,True,1118,522,24,[67]
97,True,387,569,20,[]
98,True,636,433,12,[]
99,True,1248,553,4,"[47, 420]"
100,True,1381,317,22,"[407, 417, 596]"
101,True,488,114,6,[]
102,True,353,458,8,[]
103,True,1343,414,16,[361]
104,True,252,491,8,[]
105,True,605,173,16,[]
106,True,330,277,18,[]
107,True,1508,489,6,[]
108,True,364,298,14,[]
109,True,1652,99,14,[]
110,True,1581,567,12,[]
111,True,1143,575,14,[]
112,True,190,101,16,[339]
113,True,262,419,16,[]
114,True,1140,429,8,[208]
115,True,894,159,20,[]
116,True,1585,150,6,[263]
117,True,1413,27,14,[]
118,True,1332,97,8,[]
119,True,1099,155,8,[311]
120,True,745,24,6,[546]
121,True,100,287,6,[]
122,True,967,175,16,"[459, 534]"
123,True,117,492,8,[]
124,True,127,463,18,[]
125,True,1064,255,12,[]
126,True,881,48,12,[]
127,True,1435,200,22,[]
128,True,1643,533,8,[]
129,True,719,305,20,[]
130,True,1369,569,18,[24]
131,True,1240,115,8,[]
132,True,1093,547,4,[]
133,True,811,166,4,[]
134,True,237,334,14,[]
135,True,17,544,8,[]
136,True,71,92,12,[]
137,True,251,99,8,[]
138,True,1522,46,14,[272]
139,True,326,509,20,[452]
140,True,1147,438,10,[208]
141,True,697,365,10,[]
142,True,1475,281,22,[425]
143,True,554,501,8,[]
144,True,274,54,8,[]
145,True,1116,274,6,[]
146,True,778,238,10,[]
147,True,1708,179,12,[]
148,True,1161,102,14,[]
149,True,813,416,20,"[230, 587]"
150,True,1191,387,12,[]
151,True,145,231,12,[566]
152,True,457,437,20,"[81, 264]"
153,True,495,479,8,[]
154,True,1684,397,24,[282]
155,True,941,38,16,[]
156,True,800,176,20,[338]
157,True,178,157,26,[]
158,True,1086,424,16,[]
159,True,748,359,10,[]
160,True,1608,512,16,[551]
161,True,462,538,30,[]
162,True,796,526,14,[]
163,True,25,29,16,[59]
164,True,1251,371,26,[380]
165,True,1390,49,10,[]
166,True,1565,141,24,[371]
167,True,311,356,10,[]
168,True,912,22,8,[]
169,True,407,417,18,[]
170,True,78,107,20,"[77, 582]"
171,True,217,125,4,[549]
172,True,1182,517,20,"[342, 468]"
173,True,1333,380,20,[]
174,True,1509,240,22,[]
175,True,878,194,24,[]
176,True,873,540,18,[286]
177,True,1688,458,12,[]
178,True,1634,63,8,[]
179,True,693,180,8,[]
180,True,674,13,16,[]
181,True,873,223,14,[]
182,True,1711,428,14,[]
183,True,700,382,4,[]
184,True,510,379,8,[343]
185,True,1224,101,4,[]
186,True,1252,199,20,[]
187,True,1558,61,10,[]
188,True,793,52,10,[]
