file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
100,334.86888996687156,268.82,0.24569931540388204,0.4052250658517922,0.49,0.17301006969022,2.9554486163920575,2.13,0.38753456168641204,685,783.0,0.1251596424010217,116,73.0,0.589041095890411,16.934306569343065,9.32,0.8169856834059082
108,344.6481384002595,273.42,0.26050815009969813,0.4068458911118985,0.48,0.1524043935168781,8.755875052809463,5.72,0.5307473868548013,1911,2079.0,0.08080808080808081,920,372.0,1.4731182795698925,48.14233385661957,17.89,1.6910192206047832
109,341.0137858131171,270.36,0.26133224520312587,0.427657815848301,0.49,0.12722894724836534,10.074131284326151,6.87,0.4663946556515504,2248,2525.0,0.1097029702970297,1332,575.0,1.3165217391304347,59.252669039145914,22.77,1.6022252542444408
11,350.8023428165865,239.64,0.4638722367575801,0.46694111438872504,0.53,0.11897902945523581,7.484891658316633,4.82,0.5528820867876831,1573,2118.0,0.25731822474032107,524,325.0,0.6123076923076923,33.312142403051496,15.34,1.171586858086799
111,469.1706707460939,398.31,0.1779033183854131,0.8333522797873288,1.03,0.19092011671133124,19.523526615969583,17.21,0.13442920487911578,2318,3055.0,0.24124386252045826,2536,1336.0,0.8982035928143712,109.40465918895599,43.73,1.5018216141997711
112,475.3268753122101,404.52,0.17503924481412572,0.7937926500149084,1.05,0.24400699998580155,8.556123257287707,7.17,0.19332263002617953,1017,1276.0,0.2029780564263323,512,273.0,0.8754578754578755,50.34414945919371,21.39,1.3536301757453815
113,468.2846063655624,402.46,0.16355564867455755,0.8262915280877744,1.02,0.18991026658061336,13.372742395437262,11.43,0.16996871351157153,1614,2013.0,0.19821162444113263,1140,661.0,0.7246596066565809,70.63197026022306,32.84,1.1507908118216519
116,467.39686223760606,402.46,0.1613498539919646,0.8321450170834845,1.04,0.19986056049664952,17.736157319391634,15.38,0.15319618461584086,2136,2661.0,0.19729425028184894,2152,1038.0,1.0732177263969171,100.74906367041199,39.01,1.5826471076752624
118,467.39686223760606,400.39,0.16735398545819344,0.8193309134450125,1.01,0.1887812738168193,11.439651985635827,9.34,0.2248021397897031,1367,1649.0,0.17101273499090358,784,433.0,0.8106235565819861,57.351865398683245,26.26,1.1840009672004281
120,472.69831944475914,410.63,0.15115388414085465,0.4736122859486048,0.51,0.07134845892430428,13.872121884241656,11.43,0.21365895750145722,1621,1797.0,0.09794101279910963,1408,631.0,1.231378763866878,86.85996298581122,35.11,1.473937994469132
134,501.6828241081791,443.69,0.130705727215351,0.37037261272030225,0.38,0.025335229683415138,8.46608312209548,6.79,0.2468458206326185,869,918.0,0.05337690631808279,440,206.0,1.1359223300970873,50.63291139240506,22.44,1.256368600374557
138,498.3603847494284,439.93,0.1328174590262733,0.373489239544368,0.38,0.01713358014639995,15.715271176594847,13.46,0.1675535792418162,1628,1845.0,0.11761517615176152,1492,778.0,0.9177377892030848,91.64619164619164,42.17,1.1732556710028843
