Filename,Segmentation Time (seconds)
2_Z1_cut_13-10_9043250327654,0.3588597774505615
2_Z1_cut_15-10_9043250327654,0.13634753227233887
2_Z1_cut_5-4_1913499344692005,0.07941699028015137
2_Z1_cut_8-4_1913499344692005,0.1350855827331543
LadoOposto_850_Arv1_15m_cut_12-8_593639575971732,0.07286787033081055
LadoOposto_850_Arv1_15m_cut_17-7_250883392226148,0.08077645301818848
LadoOposto_850_Arv1_15m_cut_18-8_593639575971732,0.0899343490600586
LadoOposto_850_Arv1_15m_cut_20-8_593639575971732,0.10390973091125488
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,0.015177726745605469
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,0.007014751434326172
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,0.10417795181274414
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,0.08119654655456543
