Filename,Segmentation Time (seconds)
0_0_0,4.933776140213013
0_0_1,0.4077277183532715
0_1_0,0.5376074314117432
0_1_1,0.3446691036224365
0_2_0,0.4662332534790039
0_2_1,0.282820463180542
0_3_0,0.5410764217376709
0_3_1,0.2986133098602295
0_4_0,0.4947957992553711
0_4_1,0.5198760032653809
100_0_0,0.4262406826019287
100_0_1,0.5344011783599854
100_0_2,0.25243306159973145
100_1_0,0.4758131504058838
100_1_1,0.49289512634277344
100_1_2,0.1827075481414795
100_2_0,0.39138174057006836
100_2_1,0.3907637596130371
100_2_2,0.1993265151977539
100_3_0,0.5991394519805908
100_3_1,0.8189265727996826
100_3_2,0.1849961280822754
100_4_0,0.4038658142089844
100_4_1,0.4435715675354004
100_4_2,0.20066571235656738
100_5_0,0.45798563957214355
100_5_1,0.47081565856933594
100_5_2,0.17628049850463867
100_6_0,0.39041686058044434
100_6_1,0.2664608955383301
100_6_2,0.26081228256225586
10_0_0,0.5397317409515381
10_0_1,0.3151874542236328
10_1_0,0.5579211711883545
10_1_1,0.30610179901123047
10_2_0,0.6299021244049072
10_2_1,0.31061673164367676
10_3_0,0.5272417068481445
10_3_1,0.28284287452697754
10_4_0,0.35639238357543945
10_4_1,0.41655778884887695
110_0_0,0.518002986907959
110_0_1,0.4781017303466797
110_0_2,0.19606876373291016
110_1_0,0.5043966770172119
