DropletID,CenterX,CenterY,Area,OverlappedDropletsID,Size
1,0,54,38.5,[],10
2,0,170,24.0,[],7
3,0,247,40.5,[4],10
4,0,252,17.0,[3],6
5,1,346,13.5,[],5
6,1,421,6.0,[],4
7,1,529,23.0,[],7
8,3,78,28.5,[],8
9,3,540,49.0,[],11
10,4,309,49.5,[22],11
11,5,256,41.5,[],10
12,5,303,23.0,[],8
13,5,408,91.0,[],15
14,5,571,10.5,[],5
15,6,294,27.5,[18],8
16,8,93,17.0,[],6
17,8,209,33.0,[],9
18,8,292,35.5,[15],9
19,8,483,17.5,[],6
20,9,551,16.0,[],6
21,10,196,13.5,[],5
22,10,310,51.5,[10],11
23,12,85,95.0,[27],2
24,14,498,28.0,[],8
25,15,145,50.5,[],10
26,15,586,26.5,[],8
27,16,81,27.0,[23],8
28,16,179,16.0,[],6
29,16,289,7.0,[],4
30,16,307,12.0,[36],5
31,17,476,11.0,[],5
32,18,382,16.5,[],7
33,19,202,5.0,[],3
34,20,36,69.5,[37],13
35,20,442,27.5,[],7
36,22,307,89.0,[30],1
37,23,39,10.5,[34],5
38,23,160,44.0,[43],11
39,23,363,16.0,[],6
40,23,436,28.0,[],8
41,24,483,6.0,[],4
42,24,522,10.5,[],5
43,25,153,51.0,[38],12
44,26,326,90.5,[],2
45,27,592,37.5,[],9
46,28,58,54.0,[],11
47,28,304,4.5,[],3
48,30,32,34.5,[],9
49,30,83,78.0,[],14
50,33,26,27.5,[],8
51,33,228,67.0,[],13
52,34,137,39.0,[],10
53,34,339,75.5,[],15
54,35,95,91.5,"[55, 60]",2
55,35,99,30.0,[54],8
56,35,466,29.5,[],8
57,37,403,13.5,[],5
58,37,453,86.5,[],2
59,38,23,33.0,[],9
60,38,95,4.5,[54],3
61,39,199,27.0,[],8
62,40,6,84.5,[],15
63,40,481,91.5,[],14
64,41,78,42.0,[],10
65,44,466,6.0,[],4
66,46,616,92.5,[],15
67,48,147,16.0,[],6
68,49,226,64.0,[],13
69,49,490,26.0,[],7
70,51,244,91.0,[],1
71,51,324,7.5,[],4
72,53,473,16.0,[],6
73,53,638,23.5,[],7
74,54,201,25.5,[],7
75,54,351,23.0,[],8
76,54,547,14.0,[],5
77,55,75,28.0,[],8
78,55,167,48.5,[],11
79,56,51,8.5,[],4
80,56,149,14.0,[],6
81,57,581,15.5,[],6
82,59,459,93.0,[],15
83,61,543,42.5,[],10
84,68,476,102.0,[],1
85,72,90,25.5,[],8
86,72,570,11.0,[],5
87,72,607,62.5,[91],12
88,73,307,89.0,[],1
89,73,358,8.0,[],4
90,75,223,15.0,[],7
91,75,612,55.0,[87],12
92,76,562,35.0,[],9
93,77,216,9.0,[],5
94,78,377,21.5,[],7
95,79,92,16.0,[],6
96,80,126,78.0,[],13
97,80,484,20.0,[],7
98,80,546,75.5,[],2
99,82,580,15.5,[],6
100,83,338,46.5,[],10
101,83,535,7.5,[],4
102,84,600,21.5,[],7
103,86,9,22.0,[107],7
104,88,623,41.0,[],10
105,91,172,72.0,[],13
106,91,565,11.5,[],5
107,92,9,90.5,[103],15
108,92,245,29.0,[114],8
109,92,489,36.5,[],9
110,92,527,12.0,[],5
111,93,298,23.0,[],7
112,93,555,17.5,[],6
113,95,98,25.5,[],8
